CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:09:53Z,146155,0,141,141,27037
de_la_fuenter,2020-11-27T03:09:53Z,535,0,141,141,27037
hawkinsh,2020-11-27T03:09:53Z,827,0,141,141,27037
jorgensenj,2020-11-27T03:09:53Z,2957,0,141,141,27037
kennedya,2020-11-27T03:09:53Z,31,0,141,141,27037
la_rivag,2020-11-27T03:09:53Z,83,0,141,141,27037
pierceb,2020-11-27T03:09:53Z,456,0,141,141,27037
trumpd,2020-11-27T03:09:53Z,109638,0,141,141,27037
westk,2020-11-27T03:09:53Z,593,0,141,141,27037
write-ins,2020-11-27T03:09:53Z,984,0,141,141,27037
