CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:12:16Z,2531,0,33,33,27043
de_la_fuenter,2020-11-27T03:12:16Z,21,0,33,33,27043
hawkinsh,2020-11-27T03:12:16Z,19,0,33,33,27043
jorgensenj,2020-11-27T03:12:16Z,72,0,33,33,27043
kennedya,2020-11-27T03:12:16Z,1,0,33,33,27043
la_rivag,2020-11-27T03:12:16Z,2,0,33,33,27043
pierceb,2020-11-27T03:12:16Z,24,0,33,33,27043
trumpd,2020-11-27T03:12:16Z,5191,0,33,33,27043
westk,2020-11-27T03:12:16Z,31,0,33,33,27043
write-ins,2020-11-27T03:12:16Z,22,0,33,33,27043
