CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:14:36Z,6889,0,41,41,27047
de_la_fuenter,2020-11-27T03:14:36Z,38,0,41,41,27047
hawkinsh,2020-11-27T03:14:36Z,51,0,41,41,27047
jorgensenj,2020-11-27T03:14:36Z,146,0,41,41,27047
kennedya,2020-11-27T03:14:36Z,4,0,41,41,27047
la_rivag,2020-11-27T03:14:36Z,10,0,41,41,27047
pierceb,2020-11-27T03:14:36Z,26,0,41,41,27047
trumpd,2020-11-27T03:14:36Z,9578,0,41,41,27047
westk,2020-11-27T03:14:36Z,49,0,41,41,27047
write-ins,2020-11-27T03:14:36Z,27,0,41,41,27047
