CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:21:19Z,1745,0,28,28,27063
de_la_fuenter,2020-11-27T03:21:19Z,15,0,28,28,27063
hawkinsh,2020-11-27T03:21:19Z,12,0,28,28,27063
jorgensenj,2020-11-27T03:21:19Z,53,0,28,28,27063
kennedya,2020-11-27T03:21:19Z,2,0,28,28,27063
la_rivag,2020-11-27T03:21:19Z,0,0,28,28,27063
pierceb,2020-11-27T03:21:19Z,19,0,28,28,27063
trumpd,2020-11-27T03:21:19Z,3948,0,28,28,27063
westk,2020-11-27T03:21:19Z,19,0,28,28,27063
write-ins,2020-11-27T03:21:19Z,6,0,28,28,27063
