CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:24:16Z,2659,0,22,22,27071
de_la_fuenter,2020-11-27T03:24:16Z,13,0,22,22,27071
hawkinsh,2020-11-27T03:24:16Z,17,0,22,22,27071
jorgensenj,2020-11-27T03:24:16Z,60,0,22,22,27071
kennedya,2020-11-27T03:24:16Z,0,0,22,22,27071
la_rivag,2020-11-27T03:24:16Z,1,0,22,22,27071
pierceb,2020-11-27T03:24:16Z,10,0,22,22,27071
trumpd,2020-11-27T03:24:16Z,4131,0,22,22,27071
westk,2020-11-27T03:24:16Z,14,0,22,22,27071
write-ins,2020-11-27T03:24:16Z,17,0,22,22,27071
