CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:32:22Z,3305,2124,37,37,27091
de_la_fuenter,2020-11-27T03:32:22Z,18,6,37,37,27091
hawkinsh,2020-11-27T03:32:22Z,24,0,37,37,27091
jorgensenj,2020-11-27T03:32:22Z,98,43,37,37,27091
kennedya,2020-11-27T03:32:22Z,3,0,37,37,27091
la_rivag,2020-11-27T03:32:22Z,2,1,37,37,27091
pierceb,2020-11-27T03:32:22Z,20,8,37,37,27091
trumpd,2020-11-27T03:32:22Z,7480,3033,37,37,27091
westk,2020-11-27T03:32:22Z,29,15,37,37,27091
write-ins,2020-11-27T03:32:22Z,30,17,37,37,27091
