CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:29:53Z,6413,0,28,28,27085
de_la_fuenter,2020-11-27T03:29:53Z,41,0,28,28,27085
hawkinsh,2020-11-27T03:29:53Z,58,0,28,28,27085
jorgensenj,2020-11-27T03:29:53Z,292,0,28,28,27085
kennedya,2020-11-27T03:29:53Z,9,0,28,28,27085
la_rivag,2020-11-27T03:29:53Z,2,0,28,28,27085
pierceb,2020-11-27T03:29:53Z,47,0,28,28,27085
trumpd,2020-11-27T03:29:53Z,13986,0,28,28,27085
westk,2020-11-27T03:29:53Z,40,0,28,28,27085
write-ins,2020-11-27T03:29:53Z,45,0,28,28,27085
