CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:33:27Z,3867,0,30,30,27093
de_la_fuenter,2020-11-27T03:33:27Z,30,0,30,30,27093
hawkinsh,2020-11-27T03:33:27Z,41,0,30,30,27093
jorgensenj,2020-11-27T03:33:27Z,122,0,30,30,27093
kennedya,2020-11-27T03:33:27Z,0,0,30,30,27093
la_rivag,2020-11-27T03:33:27Z,2,0,30,30,27093
pierceb,2020-11-27T03:33:27Z,31,0,30,30,27093
trumpd,2020-11-27T03:33:27Z,9359,0,30,30,27093
westk,2020-11-27T03:33:27Z,45,0,30,30,27093
write-ins,2020-11-27T03:33:27Z,32,0,30,30,27093
