CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:34:57Z,4367,0,48,48,27097
de_la_fuenter,2020-11-27T03:34:57Z,34,0,48,48,27097
hawkinsh,2020-11-27T03:34:57Z,52,0,48,48,27097
jorgensenj,2020-11-27T03:34:57Z,173,0,48,48,27097
kennedya,2020-11-27T03:34:57Z,3,0,48,48,27097
la_rivag,2020-11-27T03:34:57Z,3,0,48,48,27097
pierceb,2020-11-27T03:34:57Z,44,0,48,48,27097
trumpd,2020-11-27T03:34:57Z,14821,0,48,48,27097
westk,2020-11-27T03:34:57Z,28,0,48,48,27097
write-ins,2020-11-27T03:34:57Z,33,0,48,48,27097
