CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:49:05Z,2355,0,43,43,27127
de_la_fuenter,2020-11-27T03:49:05Z,14,0,43,43,27127
hawkinsh,2020-11-27T03:49:05Z,11,0,43,43,27127
jorgensenj,2020-11-27T03:49:05Z,76,0,43,43,27127
kennedya,2020-11-27T03:49:05Z,0,0,43,43,27127
la_rivag,2020-11-27T03:49:05Z,1,0,43,43,27127
pierceb,2020-11-27T03:49:05Z,22,0,43,43,27127
trumpd,2020-11-27T03:49:05Z,5771,0,43,43,27127
westk,2020-11-27T03:49:05Z,18,0,43,43,27127
write-ins,2020-11-27T03:49:05Z,16,0,43,43,27127
