CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:54:51Z,40040,0,47,47,27139
de_la_fuenter,2020-11-27T03:54:51Z,162,0,47,47,27139
hawkinsh,2020-11-27T03:54:51Z,240,0,47,47,27139
jorgensenj,2020-11-27T03:54:51Z,1048,0,47,47,27139
kennedya,2020-11-27T03:54:51Z,9,0,47,47,27139
la_rivag,2020-11-27T03:54:51Z,18,0,47,47,27139
pierceb,2020-11-27T03:54:51Z,162,0,47,47,27139
trumpd,2020-11-27T03:54:51Z,45872,0,47,47,27139
westk,2020-11-27T03:54:51Z,182,0,47,47,27139
write-ins,2020-11-27T03:54:51Z,232,0,47,47,27139
