CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T15:46:49Z,2417,0,25,25,27143
de_la_fuenter,2020-11-30T15:46:49Z,22,0,25,25,27143
hawkinsh,2020-11-30T15:46:49Z,22,0,25,25,27143
jorgensenj,2020-11-30T15:46:49Z,71,0,25,25,27143
kennedya,2020-11-30T15:46:49Z,0,0,25,25,27143
la_rivag,2020-11-30T15:46:49Z,2,0,25,25,27143
pierceb,2020-11-30T15:46:49Z,22,0,25,25,27143
trumpd,2020-11-30T15:46:49Z,5864,0,25,25,27143
westk,2020-11-30T15:46:49Z,17,0,25,25,27143
write-ins,2020-11-30T15:46:49Z,15,0,25,25,27143
