CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:59:28Z,1922,0,26,26,27149
de_la_fuenter,2020-11-27T03:59:28Z,4,0,26,26,27149
hawkinsh,2020-11-27T03:59:28Z,18,0,26,26,27149
jorgensenj,2020-11-27T03:59:28Z,44,0,26,26,27149
kennedya,2020-11-27T03:59:28Z,1,0,26,26,27149
la_rivag,2020-11-27T03:59:28Z,4,0,26,26,27149
pierceb,2020-11-27T03:59:28Z,11,0,26,26,27149
trumpd,2020-11-27T03:59:28Z,3044,0,26,26,27149
westk,2020-11-27T03:59:28Z,18,0,26,26,27149
write-ins,2020-11-27T03:59:28Z,19,0,26,26,27149
