CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T15:38:44Z,661,0,20,20,27155
de_la_fuenter,2020-11-30T15:38:44Z,2,0,20,20,27155
hawkinsh,2020-11-30T15:38:44Z,5,0,20,20,27155
jorgensenj,2020-11-30T15:38:44Z,12,0,20,20,27155
kennedya,2020-11-30T15:38:44Z,0,0,20,20,27155
la_rivag,2020-11-30T15:38:44Z,2,0,20,20,27155
pierceb,2020-11-30T15:38:44Z,2,0,20,20,27155
trumpd,2020-11-30T15:38:44Z,1172,0,20,20,27155
westk,2020-11-30T15:38:44Z,6,0,20,20,27155
write-ins,2020-11-30T15:38:44Z,2,0,20,20,27155
