CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T04:03:29Z,2023,0,25,25,27159
de_la_fuenter,2020-11-27T04:03:29Z,17,0,25,25,27159
hawkinsh,2020-11-27T04:03:29Z,14,0,25,25,27159
jorgensenj,2020-11-27T04:03:29Z,54,0,25,25,27159
kennedya,2020-11-27T04:03:29Z,1,0,25,25,27159
la_rivag,2020-11-27T04:03:29Z,0,0,25,25,27159
pierceb,2020-11-27T04:03:29Z,12,0,25,25,27159
trumpd,2020-11-27T04:03:29Z,5520,0,25,25,27159
westk,2020-11-27T04:03:29Z,20,0,25,25,27159
write-ins,2020-11-27T04:03:29Z,16,0,25,25,27159
