CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T04:04:09Z,3496,0,22,22,27161
de_la_fuenter,2020-11-27T04:04:09Z,17,0,22,22,27161
hawkinsh,2020-11-27T04:04:09Z,34,0,22,22,27161
jorgensenj,2020-11-27T04:04:09Z,123,0,22,22,27161
kennedya,2020-11-27T04:04:09Z,1,0,22,22,27161
la_rivag,2020-11-27T04:04:09Z,0,0,22,22,27161
pierceb,2020-11-27T04:04:09Z,27,0,22,22,27161
trumpd,2020-11-27T04:04:09Z,6624,0,22,22,27161
westk,2020-11-27T04:04:09Z,42,0,22,22,27161
write-ins,2020-11-27T04:04:09Z,25,0,22,22,27161
