CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T04:05:44Z,89165,0,83,83,27163
de_la_fuenter,2020-11-27T04:05:44Z,271,0,83,83,27163
hawkinsh,2020-11-27T04:05:44Z,477,0,83,83,27163
jorgensenj,2020-11-27T04:05:44Z,1895,0,83,83,27163
kennedya,2020-11-27T04:05:44Z,34,0,83,83,27163
la_rivag,2020-11-27T04:05:44Z,53,0,83,83,27163
pierceb,2020-11-27T04:05:44Z,267,0,83,83,27163
trumpd,2020-11-27T04:05:44Z,73764,0,83,83,27163
westk,2020-11-27T04:05:44Z,342,0,83,83,27163
write-ins,2020-11-27T04:05:44Z,518,0,83,83,27163
