CANDIDATE,Timestamp,VOTE_SHARES,VOTES
palazzos,2020-11-04T08:51:43Z,0,0
write-ins,2020-11-04T08:51:43Z,0,0
palazzos,2020-11-04T01:55:52Z,0.977,532
write-ins,2020-11-04T01:55:52Z,0.023,532
palazzos,2020-11-04T02:10:16Z,0.943,2654
write-ins,2020-11-04T02:10:16Z,0.057,2654
palazzos,2020-11-04T02:13:19Z,0.953,3361
write-ins,2020-11-04T02:13:19Z,0.047,3361
palazzos,2020-11-04T02:15:12Z,0.962,4531
write-ins,2020-11-04T02:15:12Z,0.038,4531
palazzos,2020-11-04T02:20:34Z,0.945,6065
write-ins,2020-11-04T02:20:34Z,0.055,6065
palazzos,2020-11-04T02:26:32Z,0.951,7292
write-ins,2020-11-04T02:26:32Z,0.049,7292
palazzos,2020-11-04T02:35:20Z,0.957,8760
write-ins,2020-11-04T02:35:20Z,0.043,8760
palazzos,2020-11-04T02:37:50Z,0.966,14579
write-ins,2020-11-04T02:37:50Z,0.034,14579
palazzos,2020-11-04T02:45:09Z,0.962,20034
write-ins,2020-11-04T02:45:09Z,0.038,20034
palazzos,2020-11-04T02:47:59Z,0.963,21174
write-ins,2020-11-04T02:47:59Z,0.037,21174
palazzos,2020-11-04T02:50:18Z,0.965,22756
write-ins,2020-11-04T02:50:18Z,0.035,22756
palazzos,2020-11-04T02:50:27Z,0.97,35804
write-ins,2020-11-04T02:50:27Z,0.03,35804
palazzos,2020-11-04T02:51:59Z,0.967,40714
write-ins,2020-11-04T02:51:59Z,0.033,40714
palazzos,2020-11-04T03:03:43Z,0.968,44455
write-ins,2020-11-04T03:03:43Z,0.032,44455
palazzos,2020-11-04T03:41:51Z,0.971,51457
write-ins,2020-11-04T03:41:51Z,0.029,51457
palazzos,2020-11-04T04:06:26Z,0.971,61422
write-ins,2020-11-04T04:06:26Z,0.029,61422
palazzos,2020-11-04T04:20:25Z,0.968,76415
write-ins,2020-11-04T04:20:25Z,0.032,76415
palazzos,2020-11-04T04:25:38Z,0.967,91555
write-ins,2020-11-04T04:25:38Z,0.033,91555
palazzos,2020-11-04T04:27:00Z,0.967,92208
write-ins,2020-11-04T04:27:00Z,0.033,92208
palazzos,2020-11-04T04:28:18Z,0.968,98199
write-ins,2020-11-04T04:28:18Z,0.032,98199
palazzos,2020-11-04T04:30:49Z,0.969,103211
write-ins,2020-11-04T04:30:49Z,0.031,103211
palazzos,2020-11-04T04:39:44Z,0.969,116347
write-ins,2020-11-04T04:39:44Z,0.031,116347
palazzos,2020-11-04T05:07:18Z,0.969,137361
write-ins,2020-11-04T05:07:18Z,0.031,137361
palazzos,2020-11-04T05:25:13Z,0.969,141834
write-ins,2020-11-04T05:25:13Z,0.031,141834
palazzos,2020-11-04T06:23:14Z,0.968,143096
write-ins,2020-11-04T06:23:14Z,0.032,143096
palazzos,2020-11-04T06:55:53Z,0.969,144279
write-ins,2020-11-04T06:55:53Z,0.031,144279
palazzos,2020-11-04T15:17:34Z,0.967,157111
write-ins,2020-11-04T15:17:34Z,0.033,157111
palazzos,2020-11-04T16:41:52Z,0.959,209238
write-ins,2020-11-04T16:41:52Z,0.041,209238
palazzos,2020-11-04T22:49:51Z,0.959,209970
write-ins,2020-11-04T22:49:51Z,0.041,209970
palazzos,2020-11-06T14:43:49Z,0.96,231036
write-ins,2020-11-06T14:43:49Z,0.04,231036
palazzos,2020-11-06T17:25:16Z,0.961,236072
write-ins,2020-11-06T17:25:16Z,0.039,236072
palazzos,2020-11-06T20:05:49Z,0.96,239599
write-ins,2020-11-06T20:05:49Z,0.04,239599
palazzos,2020-11-06T20:20:11Z,0.96,239697
write-ins,2020-11-06T20:20:11Z,0.04,239697
