CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:24:15Z,3810,0,15,15,28017
blankenshipd,2020-11-24T13:24:15Z,11,0,15,15,28017
carrollb,2020-11-24T13:24:15Z,8,0,15,15,28017
collinsp,2020-11-24T13:24:15Z,14,0,15,15,28017
hawkinsh,2020-11-24T13:24:15Z,9,0,15,15,28017
jorgensenj,2020-11-24T13:24:15Z,75,0,15,15,28017
pierceb,2020-11-24T13:24:15Z,2,0,15,15,28017
trumpd,2020-11-24T13:24:15Z,4175,0,15,15,28017
westk,2020-11-24T13:24:15Z,37,0,15,15,28017
write-ins,2020-11-24T13:24:15Z,7,0,15,15,28017
