CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T20:17:07Z,966,0,13,13,28041
blankenshipd,2020-12-16T20:17:07Z,8,0,13,13,28041
carrollb,2020-12-16T20:17:07Z,2,0,13,13,28041
collinsp,2020-12-16T20:17:07Z,4,0,13,13,28041
hawkinsh,2020-12-16T20:17:07Z,4,0,13,13,28041
jorgensenj,2020-12-16T20:17:07Z,20,0,13,13,28041
pierceb,2020-12-16T20:17:07Z,4,0,13,13,28041
trumpd,2020-12-16T20:17:07Z,4794,0,13,13,28041
westk,2020-12-16T20:17:07Z,10,0,13,13,28041
write-ins,2020-12-16T20:17:07Z,4,0,13,13,28041
