CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:22:32Z,3327,0,12,12,28063
blankenshipd,2020-11-24T13:22:32Z,6,0,12,12,28063
carrollb,2020-11-24T13:22:32Z,4,0,12,12,28063
collinsp,2020-11-24T13:22:32Z,1,0,12,12,28063
hawkinsh,2020-11-24T13:22:32Z,6,0,12,12,28063
jorgensenj,2020-11-24T13:22:32Z,14,0,12,12,28063
pierceb,2020-11-24T13:22:32Z,1,0,12,12,28063
trumpd,2020-11-24T13:22:32Z,531,0,12,12,28063
westk,2020-11-24T13:22:32Z,18,0,12,12,28063
write-ins,2020-11-24T13:22:32Z,3,0,12,12,28063
