CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:22:36Z,2887,0,14,14,28069
blankenshipd,2020-11-24T13:22:36Z,9,0,14,14,28069
carrollb,2020-11-24T13:22:36Z,6,0,14,14,28069
collinsp,2020-11-24T13:22:36Z,9,0,14,14,28069
hawkinsh,2020-11-24T13:22:36Z,9,0,14,14,28069
jorgensenj,2020-11-24T13:22:36Z,10,0,14,14,28069
pierceb,2020-11-24T13:22:36Z,5,0,14,14,28069
trumpd,2020-11-24T13:22:36Z,1787,0,14,14,28069
westk,2020-11-24T13:22:36Z,9,0,14,14,28069
write-ins,2020-11-24T13:22:36Z,1,0,14,14,28069
