CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T21:01:09Z,7648,0,18,18,28083
blankenshipd,2020-12-16T21:01:09Z,13,0,18,18,28083
carrollb,2020-12-16T21:01:09Z,9,0,18,18,28083
collinsp,2020-12-16T21:01:09Z,9,0,18,18,28083
hawkinsh,2020-12-16T21:01:09Z,9,0,18,18,28083
jorgensenj,2020-12-16T21:01:09Z,31,0,18,18,28083
pierceb,2020-12-16T21:01:09Z,6,0,18,18,28083
trumpd,2020-12-16T21:01:09Z,3129,0,18,18,28083
westk,2020-12-16T21:01:09Z,39,0,18,18,28083
write-ins,2020-12-16T21:01:09Z,0,0,18,18,28083
