CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:23:50Z,10299,0,20,20,28105
blankenshipd,2020-11-24T13:23:50Z,17,0,20,20,28105
carrollb,2020-11-24T13:23:50Z,28,0,20,20,28105
collinsp,2020-11-24T13:23:50Z,28,0,20,20,28105
hawkinsh,2020-11-24T13:23:50Z,51,0,20,20,28105
jorgensenj,2020-11-24T13:23:50Z,255,0,20,20,28105
pierceb,2020-11-24T13:23:50Z,14,0,20,20,28105
trumpd,2020-11-24T13:23:50Z,9004,0,20,20,28105
westk,2020-11-24T13:23:50Z,61,0,20,20,28105
write-ins,2020-11-24T13:23:50Z,55,0,20,20,28105
