CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:23:51Z,1362,0,15,15,28111
blankenshipd,2020-11-24T13:23:51Z,6,0,15,15,28111
carrollb,2020-11-24T13:23:51Z,3,0,15,15,28111
collinsp,2020-11-24T13:23:51Z,4,0,15,15,28111
hawkinsh,2020-11-24T13:23:51Z,7,0,15,15,28111
jorgensenj,2020-11-24T13:23:51Z,21,0,15,15,28111
pierceb,2020-11-24T13:23:51Z,4,0,15,15,28111
trumpd,2020-11-24T13:23:51Z,4500,0,15,15,28111
westk,2020-11-24T13:23:51Z,9,0,15,15,28111
write-ins,2020-11-24T13:23:51Z,6,0,15,15,28111
