CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-02-23T15:45:33Z,2835,0,20,20,28147
blankenshipd,2021-02-23T15:45:33Z,6,0,20,20,28147
carrollb,2021-02-23T15:45:33Z,5,0,20,20,28147
collinsp,2021-02-23T15:45:33Z,6,0,20,20,28147
hawkinsh,2021-02-23T15:45:33Z,6,0,20,20,28147
jorgensenj,2021-02-23T15:45:33Z,19,0,20,20,28147
pierceb,2021-02-23T15:45:33Z,6,0,20,20,28147
trumpd,2021-02-23T15:45:33Z,4220,0,20,20,28147
westk,2021-02-23T15:45:33Z,16,0,20,20,28147
write-ins,2021-02-23T15:45:33Z,3,0,20,20,28147
