CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:23:39Z,2785,0,12,12,28161
blankenshipd,2020-11-24T13:23:39Z,8,0,12,12,28161
carrollb,2020-11-24T13:23:39Z,6,0,12,12,28161
collinsp,2020-11-24T13:23:39Z,8,0,12,12,28161
hawkinsh,2020-11-24T13:23:39Z,7,0,12,12,28161
jorgensenj,2020-11-24T13:23:39Z,26,0,12,12,28161
pierceb,2020-11-24T13:23:39Z,2,0,12,12,28161
trumpd,2020-11-24T13:23:39Z,3671,0,12,12,28161
westk,2020-11-24T13:23:39Z,22,0,12,12,28161
write-ins,2020-11-24T13:23:39Z,3,0,12,12,28161
