CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T09:00:43Z,0,0
trumpd,2020-11-04T09:00:43Z,0,0
bidenj,2020-11-04T01:33:46Z,0.522,749
trumpd,2020-11-04T01:33:46Z,0.465,749
bidenj,2020-11-04T01:35:52Z,0.396,1164
trumpd,2020-11-04T01:35:52Z,0.595,1164
bidenj,2020-11-04T01:51:17Z,0.335,1506
trumpd,2020-11-04T01:51:17Z,0.652,1506
bidenj,2020-11-04T01:54:13Z,0.274,2110
trumpd,2020-11-04T01:54:13Z,0.714,2110
bidenj,2020-11-04T02:00:12Z,0.328,31029
trumpd,2020-11-04T02:00:12Z,0.651,31029
bidenj,2020-11-04T02:03:39Z,0.328,31677
trumpd,2020-11-04T02:03:39Z,0.651,31677
bidenj,2020-11-04T02:07:11Z,0.334,33055
trumpd,2020-11-04T02:07:11Z,0.645,33055
bidenj,2020-11-04T02:08:14Z,0.349,36737
trumpd,2020-11-04T02:08:14Z,0.63,36737
bidenj,2020-11-04T02:09:10Z,0.346,37471
trumpd,2020-11-04T02:09:10Z,0.633,37471
bidenj,2020-11-04T02:13:48Z,0.356,40559
trumpd,2020-11-04T02:13:48Z,0.623,40559
bidenj,2020-11-04T02:17:19Z,0.361,41553
trumpd,2020-11-04T02:17:19Z,0.619,41553
bidenj,2020-11-04T02:19:02Z,0.372,48688
trumpd,2020-11-04T02:19:02Z,0.607,48688
bidenj,2020-11-04T02:19:41Z,0.379,50717
trumpd,2020-11-04T02:19:41Z,0.601,50717
bidenj,2020-11-04T02:19:51Z,0.381,51427
trumpd,2020-11-04T02:19:51Z,0.598,51427
bidenj,2020-11-04T02:20:20Z,0.385,53249
trumpd,2020-11-04T02:20:20Z,0.595,53249
bidenj,2020-11-04T02:20:52Z,0.376,54939
trumpd,2020-11-04T02:20:52Z,0.604,54939
bidenj,2020-11-04T02:24:32Z,0.395,58745
trumpd,2020-11-04T02:24:32Z,0.586,58745
bidenj,2020-11-04T02:25:29Z,0.394,60338
trumpd,2020-11-04T02:25:29Z,0.587,60338
bidenj,2020-11-04T02:26:24Z,0.416,65785
trumpd,2020-11-04T02:26:24Z,0.565,65785
bidenj,2020-11-04T02:28:32Z,0.418,67147
trumpd,2020-11-04T02:28:32Z,0.563,67147
bidenj,2020-11-04T02:29:56Z,0.425,69421
trumpd,2020-11-04T02:29:56Z,0.556,69421
bidenj,2020-11-04T02:30:47Z,0.428,73074
trumpd,2020-11-04T02:30:47Z,0.554,73074
bidenj,2020-11-04T02:30:54Z,0.437,75601
trumpd,2020-11-04T02:30:54Z,0.545,75601
bidenj,2020-11-04T02:31:42Z,0.433,77288
trumpd,2020-11-04T02:31:42Z,0.549,77288
bidenj,2020-11-04T02:32:21Z,0.436,79347
trumpd,2020-11-04T02:32:21Z,0.546,79347
bidenj,2020-11-04T02:34:54Z,0.417,84301
trumpd,2020-11-04T02:34:54Z,0.565,84301
bidenj,2020-11-04T02:35:31Z,0.411,85930
trumpd,2020-11-04T02:35:31Z,0.571,85930
bidenj,2020-11-04T02:35:56Z,0.393,92325
trumpd,2020-11-04T02:35:56Z,0.59,92325
bidenj,2020-11-04T02:37:24Z,0.386,95560
trumpd,2020-11-04T02:37:24Z,0.597,95560
bidenj,2020-11-04T02:38:25Z,0.383,97650
trumpd,2020-11-04T02:38:25Z,0.599,97650
bidenj,2020-11-04T02:43:47Z,0.39,105202
trumpd,2020-11-04T02:43:47Z,0.593,105202
bidenj,2020-11-04T02:44:47Z,0.391,106529
trumpd,2020-11-04T02:44:47Z,0.592,106529
bidenj,2020-11-04T02:46:59Z,0.389,107906
trumpd,2020-11-04T02:46:59Z,0.594,107906
bidenj,2020-11-04T02:48:47Z,0.399,115569
trumpd,2020-11-04T02:48:47Z,0.584,115569
bidenj,2020-11-04T02:49:13Z,0.39,137224
trumpd,2020-11-04T02:49:13Z,0.593,137224
bidenj,2020-11-04T02:49:47Z,0.39,143346
trumpd,2020-11-04T02:49:47Z,0.593,143346
bidenj,2020-11-04T02:50:14Z,0.396,147822
trumpd,2020-11-04T02:50:14Z,0.588,147822
bidenj,2020-11-04T02:50:35Z,0.397,149107
trumpd,2020-11-04T02:50:35Z,0.586,149107
bidenj,2020-11-04T02:51:39Z,0.392,152020
trumpd,2020-11-04T02:51:39Z,0.591,152020
bidenj,2020-11-04T02:54:00Z,0.392,156528
trumpd,2020-11-04T02:54:00Z,0.592,156528
bidenj,2020-11-04T02:55:41Z,0.389,158310
trumpd,2020-11-04T02:55:41Z,0.595,158310
bidenj,2020-11-04T02:56:45Z,0.395,170715
trumpd,2020-11-04T02:56:45Z,0.589,170715
bidenj,2020-11-04T02:59:03Z,0.405,179813
trumpd,2020-11-04T02:59:03Z,0.579,179813
bidenj,2020-11-04T03:02:36Z,0.398,189207
trumpd,2020-11-04T03:02:36Z,0.586,189207
bidenj,2020-11-04T03:09:21Z,0.397,200916
trumpd,2020-11-04T03:09:21Z,0.587,200916
bidenj,2020-11-04T03:09:40Z,0.403,203609
trumpd,2020-11-04T03:09:40Z,0.581,203609
bidenj,2020-11-04T03:13:33Z,0.397,209193
trumpd,2020-11-04T03:13:33Z,0.587,209193
bidenj,2020-11-04T03:15:03Z,0.398,210558
trumpd,2020-11-04T03:15:03Z,0.585,210558
bidenj,2020-11-04T03:16:19Z,0.402,219227
trumpd,2020-11-04T03:16:19Z,0.582,219227
bidenj,2020-11-04T03:16:53Z,0.411,227405
trumpd,2020-11-04T03:16:53Z,0.572,227405
bidenj,2020-11-04T03:17:23Z,0.405,234022
trumpd,2020-11-04T03:17:23Z,0.578,234022
bidenj,2020-11-04T03:18:14Z,0.406,237312
trumpd,2020-11-04T03:18:14Z,0.578,237312
bidenj,2020-11-04T03:18:55Z,0.405,239377
trumpd,2020-11-04T03:18:55Z,0.579,239377
bidenj,2020-11-04T03:19:27Z,0.407,246437
trumpd,2020-11-04T03:19:27Z,0.577,246437
bidenj,2020-11-04T03:20:32Z,0.408,247510
trumpd,2020-11-04T03:20:32Z,0.576,247510
bidenj,2020-11-04T03:21:40Z,0.405,250481
trumpd,2020-11-04T03:21:40Z,0.579,250481
bidenj,2020-11-04T03:22:53Z,0.406,254307
trumpd,2020-11-04T03:22:53Z,0.578,254307
bidenj,2020-11-04T03:25:53Z,0.411,262422
trumpd,2020-11-04T03:25:53Z,0.573,262422
bidenj,2020-11-04T03:27:15Z,0.41,265731
trumpd,2020-11-04T03:27:15Z,0.574,265731
bidenj,2020-11-04T03:29:06Z,0.395,285408
trumpd,2020-11-04T03:29:06Z,0.588,285408
bidenj,2020-11-04T03:31:48Z,0.397,289996
trumpd,2020-11-04T03:31:48Z,0.587,289996
bidenj,2020-11-04T03:33:00Z,0.395,298183
trumpd,2020-11-04T03:33:00Z,0.589,298183
bidenj,2020-11-04T03:33:44Z,0.403,313460
trumpd,2020-11-04T03:33:44Z,0.581,313460
bidenj,2020-11-04T03:34:42Z,0.398,318975
trumpd,2020-11-04T03:34:42Z,0.586,318975
bidenj,2020-11-04T03:35:04Z,0.402,321861
trumpd,2020-11-04T03:35:04Z,0.582,321861
bidenj,2020-11-04T03:39:45Z,0.4,327107
trumpd,2020-11-04T03:39:45Z,0.584,327107
bidenj,2020-11-04T03:40:42Z,0.396,332538
trumpd,2020-11-04T03:40:42Z,0.588,332538
bidenj,2020-11-04T03:40:52Z,0.394,334790
trumpd,2020-11-04T03:40:52Z,0.59,334790
bidenj,2020-11-04T03:44:17Z,0.394,336685
trumpd,2020-11-04T03:44:17Z,0.59,336685
bidenj,2020-11-04T03:47:13Z,0.389,349696
trumpd,2020-11-04T03:47:13Z,0.595,349696
bidenj,2020-11-04T03:47:18Z,0.391,354652
trumpd,2020-11-04T03:47:18Z,0.593,354652
bidenj,2020-11-04T03:49:14Z,0.39,363072
trumpd,2020-11-04T03:49:14Z,0.594,363072
bidenj,2020-11-04T03:52:24Z,0.384,375254
trumpd,2020-11-04T03:52:24Z,0.6,375254
bidenj,2020-11-04T03:52:48Z,0.386,380332
trumpd,2020-11-04T03:52:48Z,0.598,380332
bidenj,2020-11-04T03:53:33Z,0.385,386618
trumpd,2020-11-04T03:53:33Z,0.599,386618
bidenj,2020-11-04T03:54:02Z,0.384,392588
trumpd,2020-11-04T03:54:02Z,0.6,392588
bidenj,2020-11-04T03:54:21Z,0.384,425525
trumpd,2020-11-04T03:54:21Z,0.6,425525
bidenj,2020-11-04T03:54:40Z,0.382,431725
trumpd,2020-11-04T03:54:40Z,0.602,431725
bidenj,2020-11-04T03:55:23Z,0.38,441677
trumpd,2020-11-04T03:55:23Z,0.605,441677
bidenj,2020-11-04T03:56:37Z,0.382,448904
trumpd,2020-11-04T03:56:37Z,0.602,448904
bidenj,2020-11-04T03:58:11Z,0.381,453413
trumpd,2020-11-04T03:58:11Z,0.603,453413
bidenj,2020-11-04T03:58:42Z,0.381,454132
trumpd,2020-11-04T03:58:42Z,0.603,454132
bidenj,2020-11-04T04:01:49Z,0.375,463691
trumpd,2020-11-04T04:01:49Z,0.609,463691
bidenj,2020-11-04T04:02:26Z,0.377,467040
trumpd,2020-11-04T04:02:26Z,0.608,467040
bidenj,2020-11-04T04:03:21Z,0.377,473014
trumpd,2020-11-04T04:03:21Z,0.608,473014
bidenj,2020-11-04T04:04:34Z,0.374,484328
trumpd,2020-11-04T04:04:34Z,0.611,484328
bidenj,2020-11-04T04:04:49Z,0.378,490611
trumpd,2020-11-04T04:04:49Z,0.607,490611
bidenj,2020-11-04T04:05:19Z,0.381,494592
trumpd,2020-11-04T04:05:19Z,0.604,494592
bidenj,2020-11-04T04:05:41Z,0.382,509151
trumpd,2020-11-04T04:05:41Z,0.603,509151
bidenj,2020-11-04T04:06:07Z,0.385,517032
trumpd,2020-11-04T04:06:07Z,0.6,517032
bidenj,2020-11-04T04:07:04Z,0.385,517055
trumpd,2020-11-04T04:07:04Z,0.6,517055
bidenj,2020-11-04T04:10:52Z,0.386,520060
trumpd,2020-11-04T04:10:52Z,0.599,520060
bidenj,2020-11-04T04:10:57Z,0.385,532683
trumpd,2020-11-04T04:10:57Z,0.599,532683
bidenj,2020-11-04T04:13:42Z,0.385,535021
trumpd,2020-11-04T04:13:42Z,0.599,535021
bidenj,2020-11-04T04:19:55Z,0.384,537094
trumpd,2020-11-04T04:19:55Z,0.6,537094
bidenj,2020-11-04T04:21:25Z,0.384,537778
trumpd,2020-11-04T04:21:25Z,0.6,537778
bidenj,2020-11-04T04:21:34Z,0.383,548847
trumpd,2020-11-04T04:21:34Z,0.601,548847
bidenj,2020-11-04T04:24:15Z,0.384,552867
trumpd,2020-11-04T04:24:15Z,0.6,552867
bidenj,2020-11-04T04:24:26Z,0.378,570270
trumpd,2020-11-04T04:24:26Z,0.607,570270
bidenj,2020-11-04T04:26:53Z,0.378,577394
trumpd,2020-11-04T04:26:53Z,0.607,577394
bidenj,2020-11-04T04:28:34Z,0.376,585285
trumpd,2020-11-04T04:28:34Z,0.609,585285
bidenj,2020-11-04T04:29:07Z,0.373,590794
trumpd,2020-11-04T04:29:07Z,0.612,590794
bidenj,2020-11-04T04:30:05Z,0.373,595685
trumpd,2020-11-04T04:30:05Z,0.611,595685
bidenj,2020-11-04T04:40:11Z,0.374,597190
trumpd,2020-11-04T04:40:11Z,0.611,597190
bidenj,2020-11-04T04:48:30Z,0.375,599248
trumpd,2020-11-04T04:48:30Z,0.61,599248
bidenj,2020-11-04T04:50:36Z,0.376,603183
trumpd,2020-11-04T04:50:36Z,0.609,603183
bidenj,2020-11-04T04:52:34Z,0.376,612569
trumpd,2020-11-04T04:52:34Z,0.609,612569
bidenj,2020-11-04T04:53:10Z,0.377,615715
trumpd,2020-11-04T04:53:10Z,0.608,615715
bidenj,2020-11-04T04:53:54Z,0.368,648044
trumpd,2020-11-04T04:53:54Z,0.617,648044
bidenj,2020-11-04T05:01:23Z,0.368,650201
trumpd,2020-11-04T05:01:23Z,0.616,650201
bidenj,2020-11-04T05:02:45Z,0.368,655942
trumpd,2020-11-04T05:02:45Z,0.616,655942
bidenj,2020-11-04T05:03:08Z,0.371,676081
trumpd,2020-11-04T05:03:08Z,0.614,676081
bidenj,2020-11-04T05:03:26Z,0.371,680835
trumpd,2020-11-04T05:03:26Z,0.614,680835
