CANDIDATE,Timestamp,VOTE_SHARES,VOTES
luetkemeyerb,2020-11-04T08:38:42Z,0,0
rezabekm,2020-11-04T08:38:42Z,0,0
steinmanl,2020-11-04T08:38:42Z,0,0
luetkemeyerb,2020-11-04T01:14:29Z,0.707,692
rezabekm,2020-11-04T01:14:29Z,0.276,692
steinmanl,2020-11-04T01:14:29Z,0.017,692
luetkemeyerb,2020-11-04T01:50:42Z,0.772,1615
rezabekm,2020-11-04T01:50:42Z,0.209,1615
steinmanl,2020-11-04T01:50:42Z,0.019,1615
luetkemeyerb,2020-11-04T02:05:43Z,0.749,3140
rezabekm,2020-11-04T02:05:43Z,0.227,3140
steinmanl,2020-11-04T02:05:43Z,0.024,3140
luetkemeyerb,2020-11-04T02:11:02Z,0.767,6420
rezabekm,2020-11-04T02:11:02Z,0.214,6420
steinmanl,2020-11-04T02:11:02Z,0.019,6420
luetkemeyerb,2020-11-04T02:13:08Z,0.614,22770
rezabekm,2020-11-04T02:13:08Z,0.37,22770
steinmanl,2020-11-04T02:13:08Z,0.015,22770
luetkemeyerb,2020-11-04T02:13:56Z,0.605,32701
rezabekm,2020-11-04T02:13:56Z,0.381,32701
steinmanl,2020-11-04T02:13:56Z,0.014,32701
luetkemeyerb,2020-11-04T02:22:13Z,0.644,40102
rezabekm,2020-11-04T02:22:13Z,0.341,40102
steinmanl,2020-11-04T02:22:13Z,0.015,40102
luetkemeyerb,2020-11-04T02:25:47Z,0.655,49623
rezabekm,2020-11-04T02:25:47Z,0.33,49623
steinmanl,2020-11-04T02:25:47Z,0.015,49623
luetkemeyerb,2020-11-04T02:30:46Z,0.65,54067
rezabekm,2020-11-04T02:30:46Z,0.335,54067
steinmanl,2020-11-04T02:30:46Z,0.015,54067
luetkemeyerb,2020-11-04T02:33:59Z,0.657,56435
rezabekm,2020-11-04T02:33:59Z,0.328,56435
steinmanl,2020-11-04T02:33:59Z,0.015,56435
luetkemeyerb,2020-11-04T02:36:24Z,0.663,62708
rezabekm,2020-11-04T02:36:24Z,0.322,62708
steinmanl,2020-11-04T02:36:24Z,0.015,62708
luetkemeyerb,2020-11-04T02:40:07Z,0.672,65796
rezabekm,2020-11-04T02:40:07Z,0.313,65796
steinmanl,2020-11-04T02:40:07Z,0.015,65796
luetkemeyerb,2020-11-04T02:46:08Z,0.686,77139
rezabekm,2020-11-04T02:46:08Z,0.297,77139
steinmanl,2020-11-04T02:46:08Z,0.016,77139
luetkemeyerb,2020-11-04T03:03:06Z,0.69,79469
rezabekm,2020-11-04T03:03:06Z,0.293,79469
steinmanl,2020-11-04T03:03:06Z,0.016,79469
luetkemeyerb,2020-11-04T03:04:01Z,0.693,83440
rezabekm,2020-11-04T03:04:01Z,0.291,83440
steinmanl,2020-11-04T03:04:01Z,0.017,83440
luetkemeyerb,2020-11-04T03:06:18Z,0.698,91468
rezabekm,2020-11-04T03:06:18Z,0.285,91468
steinmanl,2020-11-04T03:06:18Z,0.017,91468
luetkemeyerb,2020-11-04T03:11:04Z,0.697,102021
rezabekm,2020-11-04T03:11:04Z,0.285,102021
steinmanl,2020-11-04T03:11:04Z,0.018,102021
luetkemeyerb,2020-11-04T03:11:41Z,0.708,121397
rezabekm,2020-11-04T03:11:41Z,0.274,121397
steinmanl,2020-11-04T03:11:41Z,0.018,121397
luetkemeyerb,2020-11-04T03:14:34Z,0.721,133577
rezabekm,2020-11-04T03:14:34Z,0.261,133577
steinmanl,2020-11-04T03:14:34Z,0.018,133577
luetkemeyerb,2020-11-04T03:18:15Z,0.721,137020
rezabekm,2020-11-04T03:18:15Z,0.261,137020
steinmanl,2020-11-04T03:18:15Z,0.019,137020
luetkemeyerb,2020-11-04T03:20:27Z,0.729,144397
rezabekm,2020-11-04T03:20:27Z,0.253,144397
steinmanl,2020-11-04T03:20:27Z,0.018,144397
luetkemeyerb,2020-11-04T03:21:42Z,0.732,149840
rezabekm,2020-11-04T03:21:42Z,0.25,149840
