CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
blue-40092,2020-12-03T17:57:02.353Z,7189,0,0
brucker-40523,2020-12-03T17:57:02.353Z,6948,0,0
gagnon-40964,2020-12-03T17:57:02.353Z,7524,0,0
greene-61512,2020-12-03T17:57:02.353Z,10487,0,0
hennessey-40526,2020-12-03T17:57:02.353Z,7579,0,0
jauregui-40965,2020-12-03T17:57:02.353Z,6233,0,0
katsos-40966,2020-12-03T17:57:02.353Z,6932,0,0
lekas-40530,2020-12-03T17:57:02.353Z,10335,0,0
lekas-40531,2020-12-03T17:57:02.353Z,10582,0,0
lynde-39137,2020-12-03T17:57:02.353Z,6765,0,0
nunez-40532,2020-12-03T17:57:02.353Z,10146,0,0
ober-38167,2020-12-03T17:57:02.353Z,11983,0,0
ober-38168,2020-12-03T17:57:02.353Z,11220,0,0
paliy-40528,2020-12-03T17:57:02.353Z,6683,0,0
prout-40100,2020-12-03T17:57:02.353Z,10061,0,0
renzullo-38169,2020-12-03T17:57:02.353Z,10029,0,0
rice-39663,2020-12-03T17:57:02.353Z,11274,0,0
sherman-40529,2020-12-03T17:57:02.353Z,6658,0,0
smith-40968,2020-12-03T17:57:02.353Z,10196,0,0
ulery-38172,2020-12-03T17:57:02.353Z,10153,0,0
urrutia-38742,2020-12-03T17:57:02.353Z,6497,0,0
wyatt-40967,2020-12-03T17:57:02.353Z,6236,0,0
