CANDIDATE,Timestamp,VOTE_SHARES,VOTES
gottheimerj,2020-11-04T09:00:43Z,0,0
pallottaf,2020-11-04T09:00:43Z,0,0
velluccil,2020-11-04T09:00:43Z,0,0
gottheimerj,2020-11-04T02:16:45Z,0.449,20558
pallottaf,2020-11-04T02:16:45Z,0.535,20558
velluccil,2020-11-04T02:16:45Z,0.015,20558
gottheimerj,2020-11-04T02:32:30Z,0.594,257817
pallottaf,2020-11-04T02:32:30Z,0.397,257817
velluccil,2020-11-04T02:32:30Z,0.009,257817
gottheimerj,2020-11-04T02:59:54Z,0.588,271626
pallottaf,2020-11-04T02:59:54Z,0.403,271626
velluccil,2020-11-04T02:59:54Z,0.009,271626
gottheimerj,2020-11-04T04:27:29Z,0.579,290356
pallottaf,2020-11-04T04:27:29Z,0.411,290356
velluccil,2020-11-04T04:27:29Z,0.01,290356
gottheimerj,2020-11-04T04:34:43Z,0.578,292622
pallottaf,2020-11-04T04:34:43Z,0.412,292622
velluccil,2020-11-04T04:34:43Z,0.01,292622
gottheimerj,2020-11-05T19:38:08Z,0.566,312796
pallottaf,2020-11-05T19:38:08Z,0.423,312796
velluccil,2020-11-05T19:38:08Z,0.01,312796
gottheimerj,2020-11-05T19:43:51Z,0.562,333193
pallottaf,2020-11-05T19:43:51Z,0.428,333193
velluccil,2020-11-05T19:43:51Z,0.01,333193
gottheimerj,2020-11-05T21:16:53Z,0.56,335960
pallottaf,2020-11-05T21:16:53Z,0.429,335960
velluccil,2020-11-05T21:16:53Z,0.01,335960
gottheimerj,2020-11-05T21:44:38Z,0.56,336671
pallottaf,2020-11-05T21:44:38Z,0.43,336671
velluccil,2020-11-05T21:44:38Z,0.01,336671
gottheimerj,2020-11-06T16:59:33Z,0.556,349609
pallottaf,2020-11-06T16:59:33Z,0.433,349609
velluccil,2020-11-06T16:59:33Z,0.011,349609
gottheimerj,2020-11-06T18:41:16Z,0.556,350042
pallottaf,2020-11-06T18:41:16Z,0.433,350042
velluccil,2020-11-06T18:41:16Z,0.011,350042
gottheimerj,2020-11-06T18:49:29Z,0.554,355369
pallottaf,2020-11-06T18:49:29Z,0.436,355369
velluccil,2020-11-06T18:49:29Z,0.011,355369
gottheimerj,2020-11-06T18:59:20Z,0.552,358736
pallottaf,2020-11-06T18:59:20Z,0.438,358736
velluccil,2020-11-06T18:59:20Z,0.011,358736
gottheimerj,2020-11-06T23:55:00Z,0.549,369874
pallottaf,2020-11-06T23:55:00Z,0.441,369874
velluccil,2020-11-06T23:55:00Z,0.011,369874
gottheimerj,2020-11-09T16:13:33Z,0.548,371038
pallottaf,2020-11-09T16:13:33Z,0.441,371038
velluccil,2020-11-09T16:13:33Z,0.011,371038
gottheimerj,2020-11-09T21:24:48Z,0.546,373356
pallottaf,2020-11-09T21:24:48Z,0.443,373356
velluccil,2020-11-09T21:24:48Z,0.011,373356
gottheimerj,2020-11-09T21:40:55Z,0.544,377293
pallottaf,2020-11-09T21:40:55Z,0.445,377293
velluccil,2020-11-09T21:40:55Z,0.011,377293
gottheimerj,2020-11-10T17:32:27Z,0.542,380759
pallottaf,2020-11-10T17:32:27Z,0.447,380759
velluccil,2020-11-10T17:32:27Z,0.011,380759
gottheimerj,2020-11-10T17:46:28Z,0.541,382192
pallottaf,2020-11-10T17:46:28Z,0.448,382192
velluccil,2020-11-10T17:46:28Z,0.011,382192
gottheimerj,2020-11-11T14:07:49Z,0.538,385865
pallottaf,2020-11-11T14:07:49Z,0.45,385865
velluccil,2020-11-11T14:07:49Z,0.011,385865
gottheimerj,2020-11-11T16:43:26Z,0.538,386419
pallottaf,2020-11-11T16:43:26Z,0.451,386419
velluccil,2020-11-11T16:43:26Z,0.011,386419
gottheimerj,2020-11-11T17:11:41Z,0.535,392176
pallottaf,2020-11-11T17:11:41Z,0.454,392176
