CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bookerc,2020-11-04T09:04:43Z,0,0
mehtar,2020-11-04T09:04:43Z,0,0
bookerc,2020-11-04T01:24:14Z,0.488,41035
mehtar,2020-11-04T01:24:14Z,0.488,41035
bookerc,2020-11-04T01:25:13Z,0.665,141310
mehtar,2020-11-04T01:25:13Z,0.319,141310
bookerc,2020-11-04T01:31:45Z,0.589,288060
mehtar,2020-11-04T01:31:45Z,0.394,288060
bookerc,2020-11-04T01:36:59Z,0.485,548591
mehtar,2020-11-04T01:36:59Z,0.499,548591
bookerc,2020-11-04T01:40:39Z,0.493,659743
mehtar,2020-11-04T01:40:39Z,0.491,659743
bookerc,2020-11-04T01:44:51Z,0.491,685506
mehtar,2020-11-04T01:44:51Z,0.492,685506
bookerc,2020-11-04T01:58:49Z,0.57,942363
mehtar,2020-11-04T01:58:49Z,0.414,942363
bookerc,2020-11-04T02:00:53Z,0.599,1108264
mehtar,2020-11-04T02:00:53Z,0.384,1108264
bookerc,2020-11-04T02:01:41Z,0.596,1207311
mehtar,2020-11-04T02:01:41Z,0.387,1207311
bookerc,2020-11-04T02:02:21Z,0.596,1207371
mehtar,2020-11-04T02:02:21Z,0.387,1207371
bookerc,2020-11-04T02:12:08Z,0.596,1207434
mehtar,2020-11-04T02:12:08Z,0.387,1207434
bookerc,2020-11-04T02:14:35Z,0.59,1254849
mehtar,2020-11-04T02:14:35Z,0.393,1254849
bookerc,2020-11-04T02:15:54Z,0.59,1254850
mehtar,2020-11-04T02:15:54Z,0.393,1254850
bookerc,2020-11-04T02:16:14Z,0.586,1286869
mehtar,2020-11-04T02:16:14Z,0.397,1286869
bookerc,2020-11-04T02:28:25Z,0.599,1432915
mehtar,2020-11-04T02:28:25Z,0.384,1432915
bookerc,2020-11-04T02:28:49Z,0.602,1607431
mehtar,2020-11-04T02:28:49Z,0.382,1607431
bookerc,2020-11-04T02:31:37Z,0.602,1972181
mehtar,2020-11-04T02:31:37Z,0.382,1972181
bookerc,2020-11-04T02:33:01Z,0.597,2148715
mehtar,2020-11-04T02:33:01Z,0.387,2148715
bookerc,2020-11-04T02:33:27Z,0.603,2284138
mehtar,2020-11-04T02:33:27Z,0.381,2284138
bookerc,2020-11-04T02:34:12Z,0.603,2284142
mehtar,2020-11-04T02:34:12Z,0.381,2284142
bookerc,2020-11-04T02:35:05Z,0.608,2493345
mehtar,2020-11-04T02:35:05Z,0.376,2493345
bookerc,2020-11-04T02:44:02Z,0.608,2510445
mehtar,2020-11-04T02:44:02Z,0.376,2510445
bookerc,2020-11-04T02:46:27Z,0.608,2510469
mehtar,2020-11-04T02:46:27Z,0.376,2510469
bookerc,2020-11-04T02:51:39Z,0.608,2510470
mehtar,2020-11-04T02:51:39Z,0.376,2510470
bookerc,2020-11-04T02:59:37Z,0.608,2619965
mehtar,2020-11-04T02:59:37Z,0.375,2619965
bookerc,2020-11-04T03:03:58Z,0.608,2639346
mehtar,2020-11-04T03:03:58Z,0.375,2639346
bookerc,2020-11-04T03:17:53Z,0.609,2640346
mehtar,2020-11-04T03:17:53Z,0.375,2640346
bookerc,2020-11-04T03:18:22Z,0.609,2640582
mehtar,2020-11-04T03:18:22Z,0.375,2640582
bookerc,2020-11-04T03:21:01Z,0.609,2640734
mehtar,2020-11-04T03:21:01Z,0.375,2640734
bookerc,2020-11-04T03:47:10Z,0.609,2640778
mehtar,2020-11-04T03:47:10Z,0.375,2640778
bookerc,2020-11-04T03:52:07Z,0.609,2640787
mehtar,2020-11-04T03:52:07Z,0.375,2640787
bookerc,2020-11-04T03:57:22Z,0.609,2640833
mehtar,2020-11-04T03:57:22Z,0.375,2640833
bookerc,2020-11-04T04:21:25Z,0.608,2652379
mehtar,2020-11-04T04:21:25Z,0.375,2652379
bookerc,2020-11-04T04:26:46Z,0.606,2680268
mehtar,2020-11-04T04:26:46Z,0.377,2680268
bookerc,2020-11-04T04:28:29Z,0.606,2680310
mehtar,2020-11-04T04:28:29Z,0.377,2680310
bookerc,2020-11-04T04:34:13Z,0.606,2682582
mehtar,2020-11-04T04:34:13Z,0.377,2682582
bookerc,2020-11-04T04:57:13Z,0.606,2682591
mehtar,2020-11-04T04:57:13Z,0.377,2682591
bookerc,2020-11-04T05:28:36Z,0.606,2683854
mehtar,2020-11-04T05:28:36Z,0.377,2683854
bookerc,2020-11-04T07:03:01Z,0.606,2822724
mehtar,2020-11-04T07:03:01Z,0.378,2822724
bookerc,2020-11-04T08:36:43Z,0.605,2833222
mehtar,2020-11-04T08:36:43Z,0.378,2833222
bookerc,2020-11-04T16:35:48Z,0.605,2833235
mehtar,2020-11-04T16:35:48Z,0.378,2833235
bookerc,2020-11-04T19:01:00Z,0.605,2833237
mehtar,2020-11-04T19:01:00Z,0.378,2833237
bookerc,2020-11-04T20:31:49Z,0.605,2848293
mehtar,2020-11-04T20:31:49Z,0.379,2848293
bookerc,2020-11-04T20:50:48Z,0.605,2849346
mehtar,2020-11-04T20:50:48Z,0.379,2849346
bookerc,2020-11-05T00:56:35Z,0.604,2865783
mehtar,2020-11-05T00:56:35Z,0.38,2865783
bookerc,2020-11-05T01:00:40Z,0.602,2888657
mehtar,2020-11-05T01:00:40Z,0.382,2888657
bookerc,2020-11-05T04:52:43Z,0.602,2895322
mehtar,2020-11-05T04:52:43Z,0.382,2895322
bookerc,2020-11-05T19:37:40Z,0.6,2926996
mehtar,2020-11-05T19:37:40Z,0.384,2926996
bookerc,2020-11-05T19:43:21Z,0.599,2958025
mehtar,2020-11-05T19:43:21Z,0.385,2958025
bookerc,2020-11-05T19:48:09Z,0.598,2975042
mehtar,2020-11-05T19:48:09Z,0.386,2975042
bookerc,2020-11-05T19:57:28Z,0.596,2993354
mehtar,2020-11-05T19:57:28Z,0.388,2993354
bookerc,2020-11-05T20:11:20Z,0.595,3001637
mehtar,2020-11-05T20:11:20Z,0.388,3001637
bookerc,2020-11-05T20:15:37Z,0.596,3018615
mehtar,2020-11-05T20:15:37Z,0.388,3018615
bookerc,2020-11-05T20:56:37Z,0.596,3031108
mehtar,2020-11-05T20:56:37Z,0.388,3031108
bookerc,2020-11-05T21:16:32Z,0.595,3035598
mehtar,2020-11-05T21:16:32Z,0.388,3035598
bookerc,2020-11-05T21:34:52Z,0.595,3051723
mehtar,2020-11-05T21:34:52Z,0.389,3051723
bookerc,2020-11-05T21:44:16Z,0.595,3068933
mehtar,2020-11-05T21:44:16Z,0.388,3068933
bookerc,2020-11-05T21:49:06Z,0.594,3087987
mehtar,2020-11-05T21:49:06Z,0.39,3087987
bookerc,2020-11-05T21:57:36Z,0.593,3091997
mehtar,2020-11-05T21:57:36Z,0.39,3091997
bookerc,2020-11-05T22:00:40Z,0.592,3110193
mehtar,2020-11-05T22:00:40Z,0.391,3110193
bookerc,2020-11-05T22:39:37Z,0.593,3135983
mehtar,2020-11-05T22:39:37Z,0.39,3135983
bookerc,2020-11-06T03:57:37Z,0.593,3166878
mehtar,2020-11-06T03:57:37Z,0.39,3166878
bookerc,2020-11-06T04:31:36Z,0.593,3173563
mehtar,2020-11-06T04:31:36Z,0.39,3173563
bookerc,2020-11-06T13:50:58Z,0.593,3175788
mehtar,2020-11-06T13:50:58Z,0.39,3175788
bookerc,2020-11-06T15:46:22Z,0.592,3193171
mehtar,2020-11-06T15:46:22Z,0.391,3193171
bookerc,2020-11-06T15:48:50Z,0.592,3195513
mehtar,2020-11-06T15:48:50Z,0.392,3195513
bookerc,2020-11-06T16:59:08Z,0.591,3216911
mehtar,2020-11-06T16:59:08Z,0.392,3216911
bookerc,2020-11-06T18:24:10Z,0.589,3236421
mehtar,2020-11-06T18:24:10Z,0.394,3236421
bookerc,2020-11-06T18:40:48Z,0.589,3246660
mehtar,2020-11-06T18:40:48Z,0.394,3246660
bookerc,2020-11-06T18:48:52Z,0.588,3254226
mehtar,2020-11-06T18:48:52Z,0.395,3254226
bookerc,2020-11-06T18:58:57Z,0.588,3258616
mehtar,2020-11-06T18:58:57Z,0.395,3258616
bookerc,2020-11-06T19:05:41Z,0.588,3258859
mehtar,2020-11-06T19:05:41Z,0.395,3258859
bookerc,2020-11-06T19:47:39Z,0.588,3258869
mehtar,2020-11-06T19:47:39Z,0.395,3258869
bookerc,2020-11-06T20:00:37Z,0.588,3260985
mehtar,2020-11-06T20:00:37Z,0.395,3260985
bookerc,2020-11-06T20:09:38Z,0.587,3278974
mehtar,2020-11-06T20:09:38Z,0.396,3278974
bookerc,2020-11-06T22:27:23Z,0.587,3289344
mehtar,2020-11-06T22:27:23Z,0.396,3289344
bookerc,2020-11-06T22:29:44Z,0.587,3290754
mehtar,2020-11-06T22:29:44Z,0.396,3290754
bookerc,2020-11-06T23:00:35Z,0.587,3309428
mehtar,2020-11-06T23:00:35Z,0.396,3309428
bookerc,2020-11-06T23:54:39Z,0.586,3329478
mehtar,2020-11-06T23:54:39Z,0.397,3329478
bookerc,2020-11-07T00:32:55Z,0.586,3349148
mehtar,2020-11-07T00:32:55Z,0.397,3349148
bookerc,2020-11-07T00:37:08Z,0.584,3374259
mehtar,2020-11-07T00:37:08Z,0.399,3374259
bookerc,2020-11-07T00:40:27Z,0.583,3380382
mehtar,2020-11-07T00:40:27Z,0.399,3380382
bookerc,2020-11-07T02:57:37Z,0.584,3403497
mehtar,2020-11-07T02:57:37Z,0.399,3403497
bookerc,2020-11-07T05:12:53Z,0.583,3410862
mehtar,2020-11-07T05:12:53Z,0.4,3410862
bookerc,2020-11-07T14:00:57Z,0.583,3427521
mehtar,2020-11-07T14:00:57Z,0.4,3427521
bookerc,2020-11-07T14:08:18Z,0.583,3427568
mehtar,2020-11-07T14:08:18Z,0.4,3427568
bookerc,2020-11-07T15:04:42Z,0.582,3436845
mehtar,2020-11-07T15:04:42Z,0.401,3436845
bookerc,2020-11-07T21:16:49Z,0.582,3449428
mehtar,2020-11-07T21:16:49Z,0.401,3449428
bookerc,2020-11-07T21:31:38Z,0.583,3469657
mehtar,2020-11-07T21:31:38Z,0.4,3469657
bookerc,2020-11-07T23:30:49Z,0.582,3489271
mehtar,2020-11-07T23:30:49Z,0.4,3489271
bookerc,2020-11-08T04:29:52Z,0.582,3496599
mehtar,2020-11-08T04:29:52Z,0.401,3496599
bookerc,2020-11-08T14:20:50Z,0.582,3503675
mehtar,2020-11-08T14:20:50Z,0.401,3503675
bookerc,2020-11-09T00:55:38Z,0.582,3520078
mehtar,2020-11-09T00:55:38Z,0.401,3520078
bookerc,2020-11-09T04:50:53Z,0.582,3522564
mehtar,2020-11-09T04:50:53Z,0.401,3522564
bookerc,2020-11-09T15:37:39Z,0.582,3542427
mehtar,2020-11-09T15:37:39Z,0.401,3542427
bookerc,2020-11-09T16:13:08Z,0.581,3544167
mehtar,2020-11-09T16:13:08Z,0.401,3544167
bookerc,2020-11-09T16:18:42Z,0.581,3592815
mehtar,2020-11-09T16:18:42Z,0.402,3592815
bookerc,2020-11-09T16:26:20Z,0.58,3602674
mehtar,2020-11-09T16:26:20Z,0.402,3602674
bookerc,2020-11-09T16:35:57Z,0.578,3635586
mehtar,2020-11-09T16:35:57Z,0.404,3635586
bookerc,2020-11-09T16:44:15Z,0.578,3637859
mehtar,2020-11-09T16:44:15Z,0.404,3637859
bookerc,2020-11-09T19:59:37Z,0.578,3648244
mehtar,2020-11-09T19:59:37Z,0.404,3648244
bookerc,2020-11-09T20:43:38Z,0.578,3659210
mehtar,2020-11-09T20:43:38Z,0.404,3659210
bookerc,2020-11-09T20:49:39Z,0.578,3678793
mehtar,2020-11-09T20:49:39Z,0.404,3678793
bookerc,2020-11-09T21:20:37Z,0.578,3679903
mehtar,2020-11-09T21:20:37Z,0.404,3679903
bookerc,2020-11-09T21:24:22Z,0.578,3701316
mehtar,2020-11-09T21:24:22Z,0.404,3701316
bookerc,2020-11-09T21:33:28Z,0.578,3702534
mehtar,2020-11-09T21:33:28Z,0.404,3702534
bookerc,2020-11-09T21:40:23Z,0.578,3709102
mehtar,2020-11-09T21:40:23Z,0.405,3709102
bookerc,2020-11-09T21:48:09Z,0.577,3717208
mehtar,2020-11-09T21:48:09Z,0.405,3717208
bookerc,2020-11-10T00:37:08Z,0.576,3736602
mehtar,2020-11-10T00:37:08Z,0.406,3736602
bookerc,2020-11-10T08:36:49Z,0.576,3743914
mehtar,2020-11-10T08:36:49Z,0.406,3743914
bookerc,2020-11-10T13:56:59Z,0.576,3753428
mehtar,2020-11-10T13:56:59Z,0.406,3753428
bookerc,2020-11-10T17:23:25Z,0.575,3780999
mehtar,2020-11-10T17:23:25Z,0.407,3780999
bookerc,2020-11-10T17:31:45Z,0.575,3787315
mehtar,2020-11-10T17:31:45Z,0.408,3787315
bookerc,2020-11-10T17:46:12Z,0.574,3789838
mehtar,2020-11-10T17:46:12Z,0.408,3789838
bookerc,2020-11-10T17:51:02Z,0.574,3793400
mehtar,2020-11-10T17:51:02Z,0.408,3793400
bookerc,2020-11-10T20:32:45Z,0.574,3795305
