CANDIDATE,Timestamp,VOTE_SHARES,VOTES
herrelly,2020-11-04T09:00:03Z,0,0
smallx,2020-11-04T09:00:03Z,0,0
write-ins,2020-11-04T09:00:03Z,0,0
herrelly,2020-11-04T01:54:39Z,0.743,972
smallx,2020-11-04T01:54:39Z,0.255,972
write-ins,2020-11-04T01:54:39Z,0.002,972
herrelly,2020-11-04T02:37:52Z,0.514,1831
smallx,2020-11-04T02:37:52Z,0.483,1831
write-ins,2020-11-04T02:37:52Z,0.002,1831
herrelly,2020-11-04T02:48:20Z,0.739,19677
smallx,2020-11-04T02:48:20Z,0.261,19677
write-ins,2020-11-04T02:48:20Z,0,19677
herrelly,2020-11-04T02:49:59Z,0.761,35960
smallx,2020-11-04T02:49:59Z,0.239,35960
write-ins,2020-11-04T02:49:59Z,0,35960
herrelly,2020-11-04T03:03:26Z,0.714,54251
smallx,2020-11-04T03:03:26Z,0.285,54251
write-ins,2020-11-04T03:03:26Z,0.001,54251
herrelly,2020-11-04T03:13:28Z,0.713,55145
smallx,2020-11-04T03:13:28Z,0.286,55145
write-ins,2020-11-04T03:13:28Z,0.001,55145
herrelly,2020-11-04T03:14:13Z,0.708,56681
smallx,2020-11-04T03:14:13Z,0.291,56681
write-ins,2020-11-04T03:14:13Z,0.001,56681
herrelly,2020-11-04T03:17:12Z,0.708,57136
smallx,2020-11-04T03:17:12Z,0.29,57136
write-ins,2020-11-04T03:17:12Z,0.002,57136
herrelly,2020-11-04T03:19:57Z,0.708,57765
smallx,2020-11-04T03:19:57Z,0.29,57765
write-ins,2020-11-04T03:19:57Z,0.002,57765
herrelly,2020-11-04T03:38:13Z,0.708,59204
smallx,2020-11-04T03:38:13Z,0.29,59204
write-ins,2020-11-04T03:38:13Z,0.002,59204
herrelly,2020-11-04T03:40:41Z,0.707,59542
smallx,2020-11-04T03:40:41Z,0.29,59542
write-ins,2020-11-04T03:40:41Z,0.002,59542
herrelly,2020-11-04T03:44:48Z,0.706,60372
smallx,2020-11-04T03:44:48Z,0.291,60372
write-ins,2020-11-04T03:44:48Z,0.002,60372
herrelly,2020-11-04T03:46:38Z,0.705,60710
smallx,2020-11-04T03:46:38Z,0.293,60710
write-ins,2020-11-04T03:46:38Z,0.002,60710
herrelly,2020-11-04T03:51:26Z,0.705,61418
smallx,2020-11-04T03:51:26Z,0.293,61418
write-ins,2020-11-04T03:51:26Z,0.002,61418
herrelly,2020-11-04T03:54:49Z,0.705,62300
smallx,2020-11-04T03:54:49Z,0.293,62300
write-ins,2020-11-04T03:54:49Z,0.002,62300
herrelly,2020-11-04T03:57:08Z,0.689,64732
smallx,2020-11-04T03:57:08Z,0.309,64732
write-ins,2020-11-04T03:57:08Z,0.002,64732
herrelly,2020-11-04T03:57:28Z,0.688,65286
smallx,2020-11-04T03:57:28Z,0.31,65286
write-ins,2020-11-04T03:57:28Z,0.002,65286
herrelly,2020-11-04T03:57:38Z,0.689,65710
smallx,2020-11-04T03:57:38Z,0.309,65710
write-ins,2020-11-04T03:57:38Z,0.002,65710
herrelly,2020-11-04T03:59:01Z,0.678,69807
smallx,2020-11-04T03:59:01Z,0.32,69807
write-ins,2020-11-04T03:59:01Z,0.002,69807
herrelly,2020-11-04T04:04:40Z,0.677,70050
smallx,2020-11-04T04:04:40Z,0.321,70050
