COUNTY,PRECINCT,CANDIDATE,Timestamp,VOTES,TOTAL_VOTES,GEOID
Bernalillo,PCT 001,bidenj,12/27/2021 20:35:30.291092,556,1022,35001-001
Bernalillo,PCT 001,hawkinsh,12/27/2021 20:35:30.291092,3,1022,35001-001
Bernalillo,PCT 001,jorgensenj,12/27/2021 20:35:30.291092,20,1022,35001-001
Bernalillo,PCT 001,la_rivag,12/27/2021 20:35:30.291092,0,1022,35001-001
Bernalillo,PCT 001,tittles,12/27/2021 20:35:30.291092,4,1022,35001-001
Bernalillo,PCT 001,trumpd,12/27/2021 20:35:30.291092,439,1022,35001-001
Bernalillo,PCT 002,bidenj,12/27/2021 20:35:30.291092,406,716,35001-002
Bernalillo,PCT 002,hawkinsh,12/27/2021 20:35:30.291092,3,716,35001-002
Bernalillo,PCT 002,jorgensenj,12/27/2021 20:35:30.291092,17,716,35001-002
Bernalillo,PCT 002,la_rivag,12/27/2021 20:35:30.291092,0,716,35001-002
Bernalillo,PCT 002,tittles,12/27/2021 20:35:30.291092,0,716,35001-002
Bernalillo,PCT 002,trumpd,12/27/2021 20:35:30.291092,290,716,35001-002
Bernalillo,PCT 003,bidenj,12/27/2021 20:35:30.291092,180,365,35001-003
Bernalillo,PCT 003,hawkinsh,12/27/2021 20:35:30.291092,2,365,35001-003
Bernalillo,PCT 003,jorgensenj,12/27/2021 20:35:30.291092,2,365,35001-003
Bernalillo,PCT 003,la_rivag,12/27/2021 20:35:30.291092,0,365,35001-003
Bernalillo,PCT 003,tittles,12/27/2021 20:35:30.291092,2,365,35001-003
Bernalillo,PCT 003,trumpd,12/27/2021 20:35:30.291092,179,365,35001-003
Bernalillo,PCT 004,bidenj,12/27/2021 20:35:30.291092,374,602,35001-004
Bernalillo,PCT 004,hawkinsh,12/27/2021 20:35:30.291092,2,602,35001-004
Bernalillo,PCT 004,jorgensenj,12/27/2021 20:35:30.291092,14,602,35001-004
Bernalillo,PCT 004,la_rivag,12/27/2021 20:35:30.291092,1,602,35001-004
Bernalillo,PCT 004,tittles,12/27/2021 20:35:30.291092,2,602,35001-004
Bernalillo,PCT 004,trumpd,12/27/2021 20:35:30.291092,209,602,35001-004
Bernalillo,PCT 005,bidenj,12/27/2021 20:35:30.291092,380,571,35001-005
Bernalillo,PCT 005,hawkinsh,12/27/2021 20:35:30.291092,3,571,35001-005
Bernalillo,PCT 005,jorgensenj,12/27/2021 20:35:30.291092,6,571,35001-005
Bernalillo,PCT 005,la_rivag,12/27/2021 20:35:30.291092,0,571,35001-005
Bernalillo,PCT 005,tittles,12/27/2021 20:35:30.291092,3,571,35001-005
Bernalillo,PCT 005,trumpd,12/27/2021 20:35:30.291092,179,571,35001-005
Bernalillo,PCT 006,bidenj,12/27/2021 20:35:30.291092,375,586,35001-006
Bernalillo,PCT 006,hawkinsh,12/27/2021 20:35:30.291092,1,586,35001-006
Bernalillo,PCT 006,jorgensenj,12/27/2021 20:35:30.291092,9,586,35001-006
Bernalillo,PCT 006,la_rivag,12/27/2021 20:35:30.291092,0,586,35001-006
Bernalillo,PCT 006,tittles,12/27/2021 20:35:30.291092,2,586,35001-006
Bernalillo,PCT 006,trumpd,12/27/2021 20:35:30.291092,199,586,35001-006
Bernalillo,PCT 007,bidenj,12/27/2021 20:35:30.291092,502,757,35001-007
Bernalillo,PCT 007,hawkinsh,12/27/2021 20:35:30.291092,1,757,35001-007
Bernalillo,PCT 007,jorgensenj,12/27/2021 20:35:30.291092,12,757,35001-007
Bernalillo,PCT 007,la_rivag,12/27/2021 20:35:30.291092,2,757,35001-007
Bernalillo,PCT 007,tittles,12/27/2021 20:35:30.291092,0,757,35001-007
Bernalillo,PCT 007,trumpd,12/27/2021 20:35:30.291092,240,757,35001-007
Bernalillo,PCT 008,bidenj,12/27/2021 20:35:30.291092,200,349,35001-008
Bernalillo,PCT 008,hawkinsh,12/27/2021 20:35:30.291092,0,349,35001-008
Bernalillo,PCT 008,jorgensenj,12/27/2021 20:35:30.291092,9,349,35001-008
Bernalillo,PCT 008,la_rivag,12/27/2021 20:35:30.291092,0,349,35001-008
Bernalillo,PCT 008,tittles,12/27/2021 20:35:30.291092,0,349,35001-008
Bernalillo,PCT 008,trumpd,12/27/2021 20:35:30.291092,140,349,35001-008
Bernalillo,PCT 009,bidenj,12/27/2021 20:35:30.291092,344,602,35001-009
Bernalillo,PCT 009,hawkinsh,12/27/2021 20:35:30.291092,4,602,35001-009
Bernalillo,PCT 009,jorgensenj,12/27/2021 20:35:30.291092,9,602,35001-009
Bernalillo,PCT 009,la_rivag,12/27/2021 20:35:30.291092,0,602,35001-009
Bernalillo,PCT 009,tittles,12/27/2021 20:35:30.291092,0,602,35001-009
Bernalillo,PCT 009,trumpd,12/27/2021 20:35:30.291092,245,602,35001-009
Bernalillo,PCT 010,bidenj,12/27/2021 20:35:30.291092,474,806,35001-010
Bernalillo,PCT 010,hawkinsh,12/27/2021 20:35:30.291092,1,806,35001-010
Bernalillo,PCT 010,jorgensenj,12/27/2021 20:35:30.291092,10,806,35001-010
Bernalillo,PCT 010,la_rivag,12/27/2021 20:35:30.291092,0,806,35001-010
Bernalillo,PCT 010,tittles,12/27/2021 20:35:30.291092,3,806,35001-010
Bernalillo,PCT 010,trumpd,12/27/2021 20:35:30.291092,318,806,35001-010
Bernalillo,PCT 011,bidenj,12/27/2021 20:35:30.291092,386,536,35001-011
Bernalillo,PCT 011,hawkinsh,12/27/2021 20:35:30.291092,3,536,35001-011
Bernalillo,PCT 011,jorgensenj,12/27/2021 20:35:30.291092,6,536,35001-011
Bernalillo,PCT 011,la_rivag,12/27/2021 20:35:30.291092,0,536,35001-011
Bernalillo,PCT 011,tittles,12/27/2021 20:35:30.291092,1,536,35001-011
Bernalillo,PCT 011,trumpd,12/27/2021 20:35:30.291092,140,536,35001-011
Bernalillo,PCT 012,bidenj,12/27/2021 20:35:30.291092,509,747,35001-012
Bernalillo,PCT 012,hawkinsh,12/27/2021 20:35:30.291092,4,747,35001-012
Bernalillo,PCT 012,jorgensenj,12/27/2021 20:35:30.291092,7,747,35001-012
Bernalillo,PCT 012,la_rivag,12/27/2021 20:35:30.291092,2,747,35001-012
Bernalillo,PCT 012,tittles,12/27/2021 20:35:30.291092,1,747,35001-012
Bernalillo,PCT 012,trumpd,12/27/2021 20:35:30.291092,224,747,35001-012
Bernalillo,PCT 013,bidenj,12/27/2021 20:35:30.291092,434,661,35001-013
Bernalillo,PCT 013,hawkinsh,12/27/2021 20:35:30.291092,2,661,35001-013
Bernalillo,PCT 013,jorgensenj,12/27/2021 20:35:30.291092,14,661,35001-013
Bernalillo,PCT 013,la_rivag,12/27/2021 20:35:30.291092,0,661,35001-013
Bernalillo,PCT 013,tittles,12/27/2021 20:35:30.291092,1,661,35001-013
Bernalillo,PCT 013,trumpd,12/27/2021 20:35:30.291092,210,661,35001-013
Bernalillo,PCT 014,bidenj,12/27/2021 20:35:30.291092,449,686,35001-014
Bernalillo,PCT 014,hawkinsh,12/27/2021 20:35:30.291092,7,686,35001-014
Bernalillo,PCT 014,jorgensenj,12/27/2021 20:35:30.291092,10,686,35001-014
Bernalillo,PCT 014,la_rivag,12/27/2021 20:35:30.291092,1,686,35001-014
Bernalillo,PCT 014,tittles,12/27/2021 20:35:30.291092,0,686,35001-014
Bernalillo,PCT 014,trumpd,12/27/2021 20:35:30.291092,219,686,35001-014
Bernalillo,PCT 015,bidenj,12/27/2021 20:35:30.291092,444,777,35001-015
Bernalillo,PCT 015,hawkinsh,12/27/2021 20:35:30.291092,5,777,35001-015
Bernalillo,PCT 015,jorgensenj,12/27/2021 20:35:30.291092,9,777,35001-015
Bernalillo,PCT 015,la_rivag,12/27/2021 20:35:30.291092,1,777,35001-015
Bernalillo,PCT 015,tittles,12/27/2021 20:35:30.291092,0,777,35001-015
Bernalillo,PCT 015,trumpd,12/27/2021 20:35:30.291092,318,777,35001-015
Bernalillo,PCT 016,bidenj,12/27/2021 20:35:30.291092,298,506,35001-016
