CANDIDATE,Timestamp,VOTE_SHARES,VOTES
delicesp,2020-11-04T09:03:43Z,0,0
torresr,2020-11-04T09:03:43Z,0,0
write-ins,2020-11-04T09:03:43Z,0,0
delicesp,2020-11-04T00:39:09Z,0.085,58283
torresr,2020-11-04T00:39:09Z,0.915,58283
write-ins,2020-11-04T00:39:09Z,0,58283
delicesp,2020-11-11T03:25:16Z,0.118,154669
torresr,2020-11-11T03:25:16Z,0.882,154669
delicesp,2020-11-19T15:44:57.230Z,0.118,154669
torresr,2020-11-19T15:44:57.230Z,0.882,154669
delicesp,2020-12-01T22:42:44Z,0.111,190754
torresr,2020-12-01T22:42:44Z,0.889,190754
write-ins,2020-12-01T22:42:44Z,0,190754
delicesp,2020-12-04T16:03:28Z,0.111,191037
torresr,2020-12-04T16:03:28Z,0.887,191037
write-ins,2020-12-04T16:03:28Z,0.001,191037
delicesp,2020-12-04T16:50:16Z,0.111,191037
torresr,2020-12-04T16:50:16Z,0.887,191037
write-ins,2020-12-04T16:50:16Z,0.001,191037
delicesp,2020-12-03T14:47:25.470Z,0.111,190754
torresr,2020-12-03T14:47:25.470Z,0.889,190754
