CANDIDATE,Timestamp,VOTE_SHARES,VOTES
farrowd,2020-11-04T07:52:41Z,0,0
murphyg,2020-11-04T07:52:41Z,0,0
farrowd,2020-11-04T01:18:50Z,0.439,96788
murphyg,2020-11-04T01:18:50Z,0.561,96788
farrowd,2020-11-04T01:20:11Z,0.418,166224
murphyg,2020-11-04T01:20:11Z,0.582,166224
farrowd,2020-11-04T01:26:09Z,0.418,166829
murphyg,2020-11-04T01:26:09Z,0.582,166829
farrowd,2020-11-04T01:28:24Z,0.414,171145
murphyg,2020-11-04T01:28:24Z,0.586,171145
farrowd,2020-11-04T01:29:13Z,0.416,200864
murphyg,2020-11-04T01:29:13Z,0.584,200864
farrowd,2020-11-04T01:32:13Z,0.402,263304
murphyg,2020-11-04T01:32:13Z,0.598,263304
farrowd,2020-11-04T01:44:12Z,0.397,269622
murphyg,2020-11-04T01:44:12Z,0.603,269622
farrowd,2020-11-04T01:48:15Z,0.396,270646
murphyg,2020-11-04T01:48:15Z,0.604,270646
farrowd,2020-11-04T01:52:19Z,0.394,275463
murphyg,2020-11-04T01:52:19Z,0.606,275463
farrowd,2020-11-04T01:55:14Z,0.394,276553
murphyg,2020-11-04T01:55:14Z,0.606,276553
farrowd,2020-11-04T02:02:27Z,0.393,277098
murphyg,2020-11-04T02:02:27Z,0.607,277098
farrowd,2020-11-04T02:06:18Z,0.383,310089
murphyg,2020-11-04T02:06:18Z,0.617,310089
farrowd,2020-11-04T02:11:15Z,0.38,315728
murphyg,2020-11-04T02:11:15Z,0.62,315728
farrowd,2020-11-04T02:15:14Z,0.38,319528
murphyg,2020-11-04T02:15:14Z,0.62,319528
farrowd,2020-11-04T02:20:17Z,0.38,319980
murphyg,2020-11-04T02:20:17Z,0.62,319980
farrowd,2020-11-04T02:25:53Z,0.378,322876
murphyg,2020-11-04T02:25:53Z,0.622,322876
farrowd,2020-11-04T02:47:48Z,0.374,333629
murphyg,2020-11-04T02:47:48Z,0.626,333629
farrowd,2020-11-04T02:52:27Z,0.372,336682
murphyg,2020-11-04T02:52:27Z,0.628,336682
farrowd,2020-11-04T02:57:01Z,0.371,338834
murphyg,2020-11-04T02:57:01Z,0.629,338834
farrowd,2020-11-04T03:00:50Z,0.37,341458
murphyg,2020-11-04T03:00:50Z,0.63,341458
farrowd,2020-11-04T03:05:33Z,0.369,342124
murphyg,2020-11-04T03:05:33Z,0.631,342124
farrowd,2020-11-04T03:18:56Z,0.368,348861
murphyg,2020-11-04T03:18:56Z,0.632,348861
farrowd,2020-11-04T03:32:04Z,0.368,349123
murphyg,2020-11-04T03:32:04Z,0.632,349123
farrowd,2020-11-04T03:39:15Z,0.368,350464
murphyg,2020-11-04T03:39:15Z,0.632,350464
farrowd,2020-11-04T03:44:47Z,0.368,352427
murphyg,2020-11-04T03:44:47Z,0.632,352427
farrowd,2020-11-04T04:00:41Z,0.367,355670
murphyg,2020-11-04T04:00:41Z,0.633,355670
farrowd,2020-11-04T04:09:17Z,0.366,356070
murphyg,2020-11-04T04:09:17Z,0.634,356070
farrowd,2020-11-04T04:30:23Z,0.365,358473
murphyg,2020-11-04T04:30:23Z,0.635,358473
farrowd,2020-11-09T21:47:51Z,0.366,358699
murphyg,2020-11-09T21:47:51Z,0.634,358699
farrowd,2020-11-10T18:36:52Z,0.366,358755
murphyg,2020-11-10T18:36:52Z,0.634,358755
farrowd,2020-11-16T22:53:28Z,0.366,359146
murphyg,2020-11-16T22:53:28Z,0.634,359146
farrowd,2020-11-16T22:55:28Z,0.366,359989
murphyg,2020-11-16T22:55:28Z,0.634,359989
farrowd,2020-11-16T22:57:27Z,0.366,362552
murphyg,2020-11-16T22:57:27Z,0.634,362552
farrowd,2020-11-16T22:59:37Z,0.366,362552
murphyg,2020-11-16T22:59:37Z,0.634,362552
farrowd,2020-11-19T14:04:57.18Z,0.366,362552
murphyg,2020-11-19T14:04:57.18Z,0.634,362552
farrowd,2020-11-20T14:21:29Z,0.366,362552
murphyg,2020-11-20T14:21:29Z,0.634,362552
farrowd,2020-11-25T04:00:29.29Z,0.366,362552
murphyg,2020-11-25T04:00:29.29Z,0.634,362552
