CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T08:04:21Z,0,0
trumpd,2020-11-04T08:04:21Z,0,0
bidenj,2020-11-04T00:24:22Z,0.067,15
trumpd,2020-11-04T00:24:22Z,0.933,15
bidenj,2020-11-04T00:30:48Z,0,0
trumpd,2020-11-04T00:30:48Z,0,0
bidenj,2020-11-04T00:44:21Z,0.234,363
trumpd,2020-11-04T00:44:21Z,0.766,363
bidenj,2020-11-04T00:44:48Z,0.371,618
trumpd,2020-11-04T00:44:48Z,0.629,618
bidenj,2020-11-04T01:18:50Z,0.562,2687918
trumpd,2020-11-04T01:18:50Z,0.428,2687918
bidenj,2020-11-04T01:20:12Z,0.558,3289832
trumpd,2020-11-04T01:20:12Z,0.431,3289832
bidenj,2020-11-04T01:23:24Z,0.541,3542888
trumpd,2020-11-04T01:23:24Z,0.448,3542888
bidenj,2020-11-04T01:26:21Z,0.54,3556494
trumpd,2020-11-04T01:26:21Z,0.449,3556494
bidenj,2020-11-04T01:26:40Z,0.54,3556515
trumpd,2020-11-04T01:26:40Z,0.449,3556515
bidenj,2020-11-04T01:28:47Z,0.54,3556561
trumpd,2020-11-04T01:28:47Z,0.449,3556561
bidenj,2020-11-04T01:29:09Z,0.539,3659190
trumpd,2020-11-04T01:29:09Z,0.449,3659190
bidenj,2020-11-04T01:29:47Z,0.539,3659255
trumpd,2020-11-04T01:29:47Z,0.449,3659255
bidenj,2020-11-04T01:32:13Z,0.531,3861173
trumpd,2020-11-04T01:32:13Z,0.458,3861173
bidenj,2020-11-04T01:33:45Z,0.531,3861199
trumpd,2020-11-04T01:33:45Z,0.458,3861199
bidenj,2020-11-04T01:35:13Z,0.53,3912908
trumpd,2020-11-04T01:35:13Z,0.459,3912908
bidenj,2020-11-04T01:38:11Z,0.528,3932585
trumpd,2020-11-04T01:38:11Z,0.461,3932585
bidenj,2020-11-04T01:38:29Z,0.528,3932957
trumpd,2020-11-04T01:38:29Z,0.461,3932957
bidenj,2020-11-04T01:39:32Z,0.528,3934623
trumpd,2020-11-04T01:39:32Z,0.461,3934623
bidenj,2020-11-04T01:40:24Z,0.528,3934670
trumpd,2020-11-04T01:40:24Z,0.461,3934670
bidenj,2020-11-04T01:41:13Z,0.526,3985448
trumpd,2020-11-04T01:41:13Z,0.463,3985448
bidenj,2020-11-04T01:43:23Z,0.526,3985506
trumpd,2020-11-04T01:43:23Z,0.463,3985506
bidenj,2020-11-04T01:44:13Z,0.525,4005782
trumpd,2020-11-04T01:44:13Z,0.464,4005782
bidenj,2020-11-04T01:45:19Z,0.524,4020983
trumpd,2020-11-04T01:45:19Z,0.465,4020983
bidenj,2020-11-04T01:46:13Z,0.524,4021020
trumpd,2020-11-04T01:46:13Z,0.465,4021020
bidenj,2020-11-04T01:48:15Z,0.521,4128066
trumpd,2020-11-04T01:48:15Z,0.468,4128066
bidenj,2020-11-04T01:52:20Z,0.519,4258113
trumpd,2020-11-04T01:52:20Z,0.47,4258113
bidenj,2020-11-04T01:55:15Z,0.517,4309844
trumpd,2020-11-04T01:55:15Z,0.472,4309844
bidenj,2020-11-04T01:56:55Z,0.517,4309980
trumpd,2020-11-04T01:56:55Z,0.472,4309980
bidenj,2020-11-04T01:58:14Z,0.517,4309993
trumpd,2020-11-04T01:58:14Z,0.472,4309993
bidenj,2020-11-04T01:59:09Z,0.514,4359496
trumpd,2020-11-04T01:59:09Z,0.475,4359496
bidenj,2020-11-04T02:02:28Z,0.511,4432053
trumpd,2020-11-04T02:02:28Z,0.477,4432053
bidenj,2020-11-04T02:04:27Z,0.511,4432086
trumpd,2020-11-04T02:04:27Z,0.477,4432086
bidenj,2020-11-04T02:06:18Z,0.51,4537247
trumpd,2020-11-04T02:06:18Z,0.479,4537247
bidenj,2020-11-04T02:07:07Z,0.51,4537318
trumpd,2020-11-04T02:07:07Z,0.479,4537318
bidenj,2020-11-04T02:08:40Z,0.51,4539788
trumpd,2020-11-04T02:08:40Z,0.479,4539788
bidenj,2020-11-04T02:10:12Z,0.51,4539820
trumpd,2020-11-04T02:10:12Z,0.479,4539820
bidenj,2020-11-04T02:11:06Z,0.509,4545234
trumpd,2020-11-04T02:11:06Z,0.479,4545234
bidenj,2020-11-04T02:11:16Z,0.508,4606049
trumpd,2020-11-04T02:11:16Z,0.481,4606049
bidenj,2020-11-04T02:15:15Z,0.507,4635206
trumpd,2020-11-04T02:15:15Z,0.482,4635206
bidenj,2020-11-04T02:15:52Z,0.507,4635214
trumpd,2020-11-04T02:15:52Z,0.482,4635214
bidenj,2020-11-04T02:17:18Z,0.506,4641872
trumpd,2020-11-04T02:17:18Z,0.482,4641872
bidenj,2020-11-04T02:20:17Z,0.505,4691754
trumpd,2020-11-04T02:20:17Z,0.484,4691754
bidenj,2020-11-04T02:22:06Z,0.505,4691790
trumpd,2020-11-04T02:22:06Z,0.484,4691790
bidenj,2020-11-04T02:22:30Z,0.505,4691876
trumpd,2020-11-04T02:22:30Z,0.484,4691876
bidenj,2020-11-04T02:25:54Z,0.503,4738753
trumpd,2020-11-04T02:25:54Z,0.485,4738753
bidenj,2020-11-04T02:26:55Z,0.503,4738853
trumpd,2020-11-04T02:26:55Z,0.485,4738853
bidenj,2020-11-04T02:30:09Z,0.503,4738857
trumpd,2020-11-04T02:30:09Z,0.485,4738857
bidenj,2020-11-04T02:34:43Z,0.503,4741590
trumpd,2020-11-04T02:34:43Z,0.485,4741590
bidenj,2020-11-04T02:39:53Z,0.503,4741994
trumpd,2020-11-04T02:39:53Z,0.485,4741994
bidenj,2020-11-04T02:43:14Z,0.503,4752770
trumpd,2020-11-04T02:43:14Z,0.486,4752770
bidenj,2020-11-04T02:45:24Z,0.503,4753760
trumpd,2020-11-04T02:45:24Z,0.486,4753760
bidenj,2020-11-04T02:47:45Z,0.501,4837823
trumpd,2020-11-04T02:47:45Z,0.487,4837823
bidenj,2020-11-04T02:47:49Z,0.501,4851803
trumpd,2020-11-04T02:47:49Z,0.487,4851803
bidenj,2020-11-04T02:52:27Z,0.497,4988236
trumpd,2020-11-04T02:52:27Z,0.491,4988236
bidenj,2020-11-04T03:01:54Z,0.495,5066097
trumpd,2020-11-04T03:01:54Z,0.493,5066097
bidenj,2020-11-04T03:02:16Z,0.495,5066400
trumpd,2020-11-04T03:02:16Z,0.493,5066400
bidenj,2020-11-04T03:03:49Z,0.495,5066628
trumpd,2020-11-04T03:03:49Z,0.493,5066628
bidenj,2020-11-04T03:05:27Z,0.494,5103255
trumpd,2020-11-04T03:05:27Z,0.494,5103255
bidenj,2020-11-04T03:05:34Z,0.494,5104878
trumpd,2020-11-04T03:05:34Z,0.494,5104878
bidenj,2020-11-04T03:06:37Z,0.494,5104996
trumpd,2020-11-04T03:06:37Z,0.494,5104996
bidenj,2020-11-04T03:06:59Z,0.494,5105075
trumpd,2020-11-04T03:06:59Z,0.494,5105075
bidenj,2020-11-04T03:08:50Z,0.492,5223314
trumpd,2020-11-04T03:08:50Z,0.496,5223314
bidenj,2020-11-04T03:12:41Z,0.492,5223393
trumpd,2020-11-04T03:12:41Z,0.496,5223393
bidenj,2020-11-04T03:13:45Z,0.492,5224577
trumpd,2020-11-04T03:13:45Z,0.496,5224577
bidenj,2020-11-04T03:18:00Z,0.491,5228122
trumpd,2020-11-04T03:18:00Z,0.497,5228122
bidenj,2020-11-04T03:18:07Z,0.491,5228124
trumpd,2020-11-04T03:18:07Z,0.497,5228124
bidenj,2020-11-04T03:18:50Z,0.491,5247887
trumpd,2020-11-04T03:18:50Z,0.497,5247887
bidenj,2020-11-04T03:19:35Z,0.491,5250006
trumpd,2020-11-04T03:19:35Z,0.497,5250006
bidenj,2020-11-04T03:20:31Z,0.491,5253328
trumpd,2020-11-04T03:20:31Z,0.497,5253328
bidenj,2020-11-04T03:22:58Z,0.49,5269468
trumpd,2020-11-04T03:22:58Z,0.498,5269468
bidenj,2020-11-04T03:24:37Z,0.49,5269577
trumpd,2020-11-04T03:24:37Z,0.498,5269577
bidenj,2020-11-04T03:28:28Z,0.49,5288465
trumpd,2020-11-04T03:28:28Z,0.498,5288465
bidenj,2020-11-04T03:30:19Z,0.49,5288820
trumpd,2020-11-04T03:30:19Z,0.498,5288820
bidenj,2020-11-04T03:30:24Z,0.49,5288871
trumpd,2020-11-04T03:30:24Z,0.498,5288871
bidenj,2020-11-04T03:39:15Z,0.489,5328038
trumpd,2020-11-04T03:39:15Z,0.499,5328038
bidenj,2020-11-04T03:44:48Z,0.488,5339793
trumpd,2020-11-04T03:44:48Z,0.499,5339793
bidenj,2020-11-04T03:50:45Z,0.488,5339800
trumpd,2020-11-04T03:50:45Z,0.499,5339800
bidenj,2020-11-04T03:52:00Z,0.488,5362898
trumpd,2020-11-04T03:52:00Z,0.499,5362898
bidenj,2020-11-04T03:56:24Z,0.488,5362922
trumpd,2020-11-04T03:56:24Z,0.499,5362922
bidenj,2020-11-04T03:56:43Z,0.487,5392619
trumpd,2020-11-04T03:56:43Z,0.5,5392619
bidenj,2020-11-04T04:00:40Z,0.487,5434249
trumpd,2020-11-04T04:00:40Z,0.5,5434249
bidenj,2020-11-04T04:02:07Z,0.487,5434341
trumpd,2020-11-04T04:02:07Z,0.5,5434341
bidenj,2020-11-04T04:05:12Z,0.487,5436283
trumpd,2020-11-04T04:05:12Z,0.5,5436283
bidenj,2020-11-04T04:05:33Z,0.487,5436365
trumpd,2020-11-04T04:05:33Z,0.5,5436365
bidenj,2020-11-04T04:06:51Z,0.487,5436694
trumpd,2020-11-04T04:06:51Z,0.5,5436694
bidenj,2020-11-04T04:07:44Z,0.487,5436703
trumpd,2020-11-04T04:07:44Z,0.5,5436703
