CANDIDATE,Timestamp,VOTE_SHARES,VOTES
burgumd,2020-11-04T08:05:21Z,0,0
hendricksond,2020-11-04T08:05:21Z,0,0
lenzs,2020-11-04T08:05:21Z,0,0
burgumd,2020-11-04T01:48:04Z,0.627,26089
hendricksond,2020-11-04T01:48:04Z,0.027,26089
lenzs,2020-11-04T01:48:04Z,0.346,26089
burgumd,2020-11-04T02:16:14Z,0.606,80099
hendricksond,2020-11-04T02:16:14Z,0.026,80099
lenzs,2020-11-04T02:16:14Z,0.367,80099
burgumd,2020-11-04T02:28:39Z,0.608,80759
hendricksond,2020-11-04T02:28:39Z,0.027,80759
lenzs,2020-11-04T02:28:39Z,0.366,80759
burgumd,2020-11-04T02:29:53Z,0.608,81577
hendricksond,2020-11-04T02:29:53Z,0.027,81577
lenzs,2020-11-04T02:29:53Z,0.365,81577
burgumd,2020-11-04T02:37:08Z,0.612,83717
hendricksond,2020-11-04T02:37:08Z,0.028,83717
lenzs,2020-11-04T02:37:08Z,0.361,83717
burgumd,2020-11-04T02:40:34Z,0.615,85709
hendricksond,2020-11-04T02:40:34Z,0.029,85709
lenzs,2020-11-04T02:40:34Z,0.356,85709
burgumd,2020-11-04T02:41:08Z,0.619,87345
hendricksond,2020-11-04T02:41:08Z,0.029,87345
lenzs,2020-11-04T02:41:08Z,0.353,87345
burgumd,2020-11-04T02:51:57Z,0.622,90497
hendricksond,2020-11-04T02:51:57Z,0.03,90497
lenzs,2020-11-04T02:51:57Z,0.348,90497
burgumd,2020-11-04T02:52:36Z,0.639,103719
hendricksond,2020-11-04T02:52:36Z,0.031,103719
lenzs,2020-11-04T02:52:36Z,0.33,103719
burgumd,2020-11-04T02:56:47Z,0.645,110309
hendricksond,2020-11-04T02:56:47Z,0.032,110309
lenzs,2020-11-04T02:56:47Z,0.323,110309
burgumd,2020-11-04T03:01:42Z,0.638,114025
hendricksond,2020-11-04T03:01:42Z,0.032,114025
lenzs,2020-11-04T03:01:42Z,0.331,114025
burgumd,2020-11-04T03:07:43Z,0.644,120249
hendricksond,2020-11-04T03:07:43Z,0.032,120249
lenzs,2020-11-04T03:07:43Z,0.324,120249
burgumd,2020-11-04T03:11:48Z,0.649,125170
hendricksond,2020-11-04T03:11:48Z,0.032,125170
lenzs,2020-11-04T03:11:48Z,0.319,125170
burgumd,2020-11-04T03:18:15Z,0.661,140500
hendricksond,2020-11-04T03:18:15Z,0.033,140500
lenzs,2020-11-04T03:18:15Z,0.306,140500
burgumd,2020-11-04T03:22:57Z,0.667,148429
hendricksond,2020-11-04T03:22:57Z,0.034,148429
lenzs,2020-11-04T03:22:57Z,0.3,148429
burgumd,2020-11-04T03:29:54Z,0.672,196220
hendricksond,2020-11-04T03:29:54Z,0.037,196220
lenzs,2020-11-04T03:29:54Z,0.291,196220
burgumd,2020-11-04T03:32:22Z,0.673,197927
hendricksond,2020-11-04T03:32:22Z,0.038,197927
lenzs,2020-11-04T03:32:22Z,0.289,197927
burgumd,2020-11-04T03:39:45Z,0.675,201463
hendricksond,2020-11-04T03:39:45Z,0.038,201463
lenzs,2020-11-04T03:39:45Z,0.287,201463
burgumd,2020-11-04T03:42:05Z,0.676,202677
