CANDIDATE,Timestamp,VOTE_SHARES,VOTES
timsd,2020-11-04T06:03:19Z,0,0
turnerm,2020-11-04T06:03:19Z,0,0
timsd,2020-11-04T00:53:58Z,0.289,5676
turnerm,2020-11-04T00:53:58Z,0.711,5676
timsd,2020-11-04T00:56:54Z,0.55,159058
turnerm,2020-11-04T00:56:54Z,0.45,159058
timsd,2020-11-04T01:02:57Z,0.529,183734
turnerm,2020-11-04T01:02:57Z,0.471,183734
timsd,2020-11-04T01:08:57Z,0.519,211451
turnerm,2020-11-04T01:08:57Z,0.481,211451
timsd,2020-11-04T01:35:59Z,0.515,220074
turnerm,2020-11-04T01:35:59Z,0.485,220074
timsd,2020-11-04T01:38:57Z,0.514,221462
turnerm,2020-11-04T01:38:57Z,0.486,221462
timsd,2020-11-04T01:51:05Z,0.501,237226
turnerm,2020-11-04T01:51:05Z,0.499,237226
timsd,2020-11-04T02:06:00Z,0.494,242511
turnerm,2020-11-04T02:06:00Z,0.506,242511
timsd,2020-11-04T02:09:01Z,0.485,252968
turnerm,2020-11-04T02:09:01Z,0.515,252968
timsd,2020-11-04T02:14:59Z,0.484,253848
turnerm,2020-11-04T02:14:59Z,0.516,253848
timsd,2020-11-04T02:30:00Z,0.471,268079
turnerm,2020-11-04T02:30:00Z,0.529,268079
timsd,2020-11-04T02:40:46Z,0.467,271072
turnerm,2020-11-04T02:40:46Z,0.533,271072
timsd,2020-11-04T02:43:50Z,0.46,278039
turnerm,2020-11-04T02:43:50Z,0.54,278039
timsd,2020-11-04T02:45:41Z,0.457,288211
turnerm,2020-11-04T02:45:41Z,0.543,288211
timsd,2020-11-04T02:54:30Z,0.455,291084
turnerm,2020-11-04T02:54:30Z,0.545,291084
timsd,2020-11-04T03:03:44Z,0.449,300468
turnerm,2020-11-04T03:03:44Z,0.551,300468
timsd,2020-11-04T03:09:31Z,0.441,312607
turnerm,2020-11-04T03:09:31Z,0.559,312607
timsd,2020-11-04T03:28:43Z,0.433,327643
turnerm,2020-11-04T03:28:43Z,0.567,327643
timsd,2020-11-04T03:37:57Z,0.429,333583
turnerm,2020-11-04T03:37:57Z,0.571,333583
timsd,2020-11-04T03:46:20Z,0.424,339634
turnerm,2020-11-04T03:46:20Z,0.576,339634
timsd,2020-11-04T04:09:47Z,0.421,345428
turnerm,2020-11-04T04:09:47Z,0.579,345428
timsd,2020-11-04T05:09:39Z,0.416,354532
turnerm,2020-11-04T05:09:39Z,0.584,354532
timsd,2020-11-04T05:27:19Z,0.415,356332
turnerm,2020-11-04T05:27:19Z,0.585,356332
timsd,2020-11-18T19:02:46Z,0.415,358285
turnerm,2020-11-18T19:02:46Z,0.585,358285
timsd,2020-11-18T20:58:29Z,0.417,364710
turnerm,2020-11-18T20:58:29Z,0.583,364710
timsd,2020-11-19T16:01:10Z,0.416,364948
turnerm,2020-11-19T16:01:10Z,0.584,364948
timsd,2020-11-19T19:03:54.387Z,0.416,364948
turnerm,2020-11-19T19:03:54.387Z,0.584,364948
timsd,2020-11-27T22:58:13Z,0.416,364948
turnerm,2020-11-27T22:58:13Z,0.584,364948
timsd,2020-11-28T01:05:03.367Z,0.416,364948
turnerm,2020-11-28T01:05:03.367Z,0.584,364948
