CANDIDATE,Timestamp,VOTE_SHARES,VOTES
asamoa_caesark,2020-11-04T07:02:40Z,0,0
hernk,2020-11-04T07:02:40Z,0,0
rogerse,2020-11-04T07:02:40Z,0,0
asamoa_caesark,2020-11-04T01:12:57Z,0.491,10655
hernk,2020-11-04T01:12:57Z,0.48,10655
rogerse,2020-11-04T01:12:57Z,0.029,10655
asamoa_caesark,2020-11-04T01:13:20Z,0.485,13828
hernk,2020-11-04T01:13:20Z,0.482,13828
rogerse,2020-11-04T01:13:20Z,0.033,13828
asamoa_caesark,2020-11-04T01:15:56Z,0.493,17001
hernk,2020-11-04T01:15:56Z,0.475,17001
rogerse,2020-11-04T01:15:56Z,0.033,17001
asamoa_caesark,2020-11-04T01:17:55Z,0.458,20058
hernk,2020-11-04T01:17:55Z,0.511,20058
rogerse,2020-11-04T01:17:55Z,0.031,20058
asamoa_caesark,2020-11-04T01:24:58Z,0.428,24030
hernk,2020-11-04T01:24:58Z,0.541,24030
rogerse,2020-11-04T01:24:58Z,0.031,24030
asamoa_caesark,2020-11-04T01:27:58Z,0.402,27292
hernk,2020-11-04T01:27:58Z,0.568,27292
rogerse,2020-11-04T01:27:58Z,0.03,27292
asamoa_caesark,2020-11-04T01:28:59Z,0.383,30373
hernk,2020-11-04T01:28:59Z,0.588,30373
rogerse,2020-11-04T01:28:59Z,0.029,30373
asamoa_caesark,2020-11-04T01:35:05Z,0.378,30873
hernk,2020-11-04T01:35:05Z,0.593,30873
rogerse,2020-11-04T01:35:05Z,0.029,30873
asamoa_caesark,2020-11-04T01:39:00Z,0.376,31402
hernk,2020-11-04T01:39:00Z,0.595,31402
rogerse,2020-11-04T01:39:00Z,0.029,31402
asamoa_caesark,2020-11-04T01:40:58Z,0.475,50334
hernk,2020-11-04T01:40:58Z,0.491,50334
rogerse,2020-11-04T01:40:58Z,0.034,50334
asamoa_caesark,2020-11-04T01:43:03Z,0.49,61390
hernk,2020-11-04T01:43:03Z,0.476,61390
rogerse,2020-11-04T01:43:03Z,0.034,61390
asamoa_caesark,2020-11-04T01:46:03Z,0.495,73656
hernk,2020-11-04T01:46:03Z,0.472,73656
rogerse,2020-11-04T01:46:03Z,0.034,73656
asamoa_caesark,2020-11-04T01:47:00Z,0.493,77191
hernk,2020-11-04T01:47:00Z,0.474,77191
rogerse,2020-11-04T01:47:00Z,0.034,77191
asamoa_caesark,2020-11-04T01:49:02Z,0.488,78145
hernk,2020-11-04T01:49:02Z,0.478,78145
rogerse,2020-11-04T01:49:02Z,0.034,78145
asamoa_caesark,2020-11-04T01:50:00Z,0.486,85300
hernk,2020-11-04T01:50:00Z,0.48,85300
rogerse,2020-11-04T01:50:00Z,0.034,85300
asamoa_caesark,2020-11-04T01:51:05Z,0.484,92963
hernk,2020-11-04T01:51:05Z,0.482,92963
rogerse,2020-11-04T01:51:05Z,0.034,92963
asamoa_caesark,2020-11-04T01:53:00Z,0.48,95214
hernk,2020-11-04T01:53:00Z,0.485,95214
rogerse,2020-11-04T01:53:00Z,0.034,95214
asamoa_caesark,2020-11-04T01:54:03Z,0.478,95937
hernk,2020-11-04T01:54:03Z,0.487,95937
rogerse,2020-11-04T01:54:03Z,0.034,95937
asamoa_caesark,2020-11-04T01:55:02Z,0.475,96931
hernk,2020-11-04T01:55:02Z,0.49,96931
rogerse,2020-11-04T01:55:02Z,0.034,96931
asamoa_caesark,2020-11-04T01:57:03Z,0.474,97112
hernk,2020-11-04T01:57:03Z,0.491,97112
rogerse,2020-11-04T01:57:03Z,0.034,97112
asamoa_caesark,2020-11-04T01:58:03Z,0.468,99159
hernk,2020-11-04T01:58:03Z,0.497,99159
rogerse,2020-11-04T01:58:03Z,0.035,99159
asamoa_caesark,2020-11-04T01:59:06Z,0.466,103548
hernk,2020-11-04T01:59:06Z,0.499,103548
rogerse,2020-11-04T01:59:06Z,0.035,103548
asamoa_caesark,2020-11-04T02:00:02Z,0.464,103949
hernk,2020-11-04T02:00:02Z,0.501,103949
rogerse,2020-11-04T02:00:02Z,0.035,103949
asamoa_caesark,2020-11-04T02:02:08Z,0.46,107445
hernk,2020-11-04T02:02:08Z,0.505,107445
rogerse,2020-11-04T02:02:08Z,0.035,107445
