CANDIDATE,Timestamp,VOTE_SHARES,VOTES
defaziop,2020-11-04T10:02:44Z,0,0
hoffayd,2020-11-04T10:02:44Z,0,0
skarlatosa,2020-11-04T10:02:44Z,0,0
defaziop,2020-11-04T04:17:29Z,0.619,208708
hoffayd,2020-11-04T04:17:29Z,0.02,208708
skarlatosa,2020-11-04T04:17:29Z,0.361,208708
defaziop,2020-11-04T04:22:28Z,0.568,258139
hoffayd,2020-11-04T04:22:28Z,0.019,258139
skarlatosa,2020-11-04T04:22:28Z,0.413,258139
defaziop,2020-11-04T04:25:04Z,0.587,299445
hoffayd,2020-11-04T04:25:04Z,0.019,299445
skarlatosa,2020-11-04T04:25:04Z,0.393,299445
defaziop,2020-11-04T04:30:38Z,0.534,413179
hoffayd,2020-11-04T04:30:38Z,0.02,413179
skarlatosa,2020-11-04T04:30:38Z,0.446,413179
defaziop,2020-11-04T04:33:18Z,0.527,430332
hoffayd,2020-11-04T04:33:18Z,0.02,430332
skarlatosa,2020-11-04T04:33:18Z,0.452,430332
defaziop,2020-11-04T05:47:33Z,0.527,430910
hoffayd,2020-11-04T05:47:33Z,0.02,430910
skarlatosa,2020-11-04T05:47:33Z,0.452,430910
defaziop,2020-11-04T06:02:18Z,0.527,431116
hoffayd,2020-11-04T06:02:18Z,0.02,431116
skarlatosa,2020-11-04T06:02:18Z,0.453,431116
defaziop,2020-11-04T06:30:53Z,0.527,432837
hoffayd,2020-11-04T06:30:53Z,0.02,432837
skarlatosa,2020-11-04T06:30:53Z,0.452,432837
defaziop,2020-11-04T07:11:43Z,0.527,438695
hoffayd,2020-11-04T07:11:43Z,0.021,438695
skarlatosa,2020-11-04T07:11:43Z,0.452,438695
defaziop,2020-11-04T07:43:46Z,0.526,440616
hoffayd,2020-11-04T07:43:46Z,0.021,440616
skarlatosa,2020-11-04T07:43:46Z,0.453,440616
defaziop,2020-11-04T08:45:49Z,0.524,444141
hoffayd,2020-11-04T08:45:49Z,0.021,444141
skarlatosa,2020-11-04T08:45:49Z,0.455,444141
defaziop,2020-11-04T08:46:00Z,0.516,457346
hoffayd,2020-11-04T08:46:00Z,0.021,457346
skarlatosa,2020-11-04T08:46:00Z,0.463,457346
defaziop,2020-11-05T02:00:45Z,0.516,459294
hoffayd,2020-11-05T02:00:45Z,0.021,459294
skarlatosa,2020-11-05T02:00:45Z,0.463,459294
defaziop,2020-11-10T20:01:08Z,0.516,459740
hoffayd,2020-11-10T20:01:08Z,0.021,459740
skarlatosa,2020-11-10T20:01:08Z,0.463,459740
defaziop,2020-11-11T02:00:55Z,0.517,463117
hoffayd,2020-11-11T02:00:55Z,0.021,463117
skarlatosa,2020-11-11T02:00:55Z,0.462,463117
defaziop,2020-11-12T20:00:48Z,0.516,464346
hoffayd,2020-11-12T20:00:48Z,0.022,464346
skarlatosa,2020-11-12T20:00:48Z,0.462,464346
defaziop,2020-11-14T02:01:04Z,0.516,464501
hoffayd,2020-11-14T02:01:04Z,0.022,464501
skarlatosa,2020-11-14T02:01:04Z,0.462,464501
defaziop,2020-11-18T02:01:05Z,0.516,464652
hoffayd,2020-11-18T02:01:05Z,0.022,464652
skarlatosa,2020-11-18T02:01:05Z,0.462,464652
defaziop,2020-11-19T02:01:06Z,0.516,464657
hoffayd,2020-11-19T02:01:06Z,0.022,464657
skarlatosa,2020-11-19T02:01:06Z,0.462,464657
defaziop,2020-11-19T21:22:00Z,0.515,471412
hoffayd,2020-11-19T21:22:00Z,0.022,471412
skarlatosa,2020-11-19T21:22:00Z,0.463,471412
defaziop,2020-11-19T20:01:32.410Z,0.515,471412
hoffayd,2020-11-19T20:01:32.410Z,0.022,471412
skarlatosa,2020-11-19T20:01:32.410Z,0.463,471412
defaziop,2020-11-20T02:00:50Z,0.515,471496
hoffayd,2020-11-20T02:00:50Z,0.022,471496
skarlatosa,2020-11-20T02:00:50Z,0.463,471496
defaziop,2020-11-20T14:20:15Z,0.515,471496
hoffayd,2020-11-20T14:20:15Z,0.022,471496
skarlatosa,2020-11-20T14:20:15Z,0.463,471496
defaziop,2020-11-20T15:05:06Z,0.513,479399
hoffayd,2020-11-20T15:05:06Z,0.022,479399
skarlatosa,2020-11-20T15:05:06Z,0.465,479399
defaziop,2020-11-20T20:00:52Z,0.512,481168
hoffayd,2020-11-20T20:00:52Z,0.022,481168
skarlatosa,2020-11-20T20:00:52Z,0.466,481168
defaziop,2020-11-21T02:01:02Z,0.513,481807
hoffayd,2020-11-21T02:01:02Z,0.022,481807
skarlatosa,2020-11-21T02:01:02Z,0.466,481807
defaziop,2020-11-26T13:23:17Z,0.516,467149
hoffayd,2020-11-26T13:23:17Z,0.022,467149
skarlatosa,2020-11-26T13:23:17Z,0.463,467149
defaziop,2020-12-04T21:54:45.577Z,0.516,467149
hoffayd,2020-12-04T21:54:45.577Z,0.022,467149
skarlatosa,2020-12-04T21:54:45.577Z,0.463,467149
