CANDIDATE,Timestamp,VOTE_SHARES,VOTES
gnibusk,2020-11-04T09:01:03Z,0,0
kellym,2020-11-04T09:01:03Z,0,0
gnibusk,2020-11-04T02:06:58Z,0.186,3591
kellym,2020-11-04T02:06:58Z,0.814,3591
gnibusk,2020-11-04T02:27:12Z,0.34,11749
kellym,2020-11-04T02:27:12Z,0.66,11749
gnibusk,2020-11-04T02:51:42Z,0.418,37192
kellym,2020-11-04T02:51:42Z,0.582,37192
gnibusk,2020-11-04T02:52:59Z,0.401,40739
kellym,2020-11-04T02:52:59Z,0.599,40739
gnibusk,2020-11-04T02:55:21Z,0.352,51755
kellym,2020-11-04T02:55:21Z,0.648,51755
gnibusk,2020-11-04T03:01:35Z,0.358,67139
kellym,2020-11-04T03:01:35Z,0.642,67139
gnibusk,2020-11-04T03:07:10Z,0.358,68059
kellym,2020-11-04T03:07:10Z,0.642,68059
gnibusk,2020-11-04T03:10:40Z,0.344,73658
kellym,2020-11-04T03:10:40Z,0.656,73658
gnibusk,2020-11-04T03:27:01Z,0.328,86987
kellym,2020-11-04T03:27:01Z,0.672,86987
gnibusk,2020-11-04T03:32:38Z,0.322,92371
kellym,2020-11-04T03:32:38Z,0.678,92371
gnibusk,2020-11-04T03:40:26Z,0.335,110412
kellym,2020-11-04T03:40:26Z,0.665,110412
gnibusk,2020-11-04T03:47:00Z,0.331,135791
kellym,2020-11-04T03:47:00Z,0.669,135791
gnibusk,2020-11-04T03:55:26Z,0.325,143439
kellym,2020-11-04T03:55:26Z,0.675,143439
gnibusk,2020-11-04T03:57:32Z,0.318,152680
kellym,2020-11-04T03:57:32Z,0.682,152680
gnibusk,2020-11-04T04:11:10Z,0.313,158059
kellym,2020-11-04T04:11:10Z,0.687,158059
gnibusk,2020-11-04T04:30:46Z,0.307,166436
kellym,2020-11-04T04:30:46Z,0.693,166436
gnibusk,2020-11-04T04:35:29Z,0.3,185512
kellym,2020-11-04T04:35:29Z,0.7,185512
gnibusk,2020-11-04T04:39:19Z,0.307,205803
kellym,2020-11-04T04:39:19Z,0.693,205803
gnibusk,2020-11-04T04:54:32Z,0.303,212939
kellym,2020-11-04T04:54:32Z,0.697,212939
gnibusk,2020-11-04T05:14:33Z,0.303,238390
kellym,2020-11-04T05:14:33Z,0.697,238390
gnibusk,2020-11-04T05:16:37Z,0.301,245454
kellym,2020-11-04T05:16:37Z,0.699,245454
gnibusk,2020-11-04T05:20:44Z,0.301,246798
kellym,2020-11-04T05:20:44Z,0.699,246798
gnibusk,2020-11-04T05:44:51Z,0.301,247035
kellym,2020-11-04T05:44:51Z,0.699,247035
gnibusk,2020-11-04T05:51:20Z,0.329,261360
kellym,2020-11-04T05:51:20Z,0.671,261360
gnibusk,2020-11-04T07:20:52Z,0.328,263967
kellym,2020-11-04T07:20:52Z,0.672,263967
gnibusk,2020-11-04T17:10:53Z,0.335,269389
kellym,2020-11-04T17:10:53Z,0.665,269389
gnibusk,2020-11-04T20:56:53Z,0.347,278005
kellym,2020-11-04T20:56:53Z,0.653,278005
gnibusk,2020-11-04T22:38:51Z,0.35,280764
kellym,2020-11-04T22:38:51Z,0.65,280764
gnibusk,2020-11-04T23:14:52Z,0.356,285247
kellym,2020-11-04T23:14:52Z,0.644,285247
gnibusk,2020-11-05T00:22:55Z,0.374,308862
kellym,2020-11-05T00:22:55Z,0.626,308862
gnibusk,2020-11-05T16:58:46Z,0.379,313004
kellym,2020-11-05T16:58:46Z,0.621,313004
gnibusk,2020-11-05T17:16:46Z,0.381,315704
kellym,2020-11-05T17:16:46Z,0.619,315704
gnibusk,2020-11-05T21:04:40Z,0.388,322178
kellym,2020-11-05T21:04:40Z,0.612,322178
gnibusk,2020-11-05T21:40:40Z,0.393,328456
kellym,2020-11-05T21:40:40Z,0.607,328456
gnibusk,2020-11-05T23:46:41Z,0.397,333418
kellym,2020-11-05T23:46:41Z,0.603,333418
gnibusk,2020-11-06T01:50:36Z,0.402,340845
kellym,2020-11-06T01:50:36Z,0.598,340845
gnibusk,2020-11-06T18:22:39Z,0.405,344979
kellym,2020-11-06T18:22:39Z,0.595,344979
gnibusk,2020-11-06T19:14:34Z,0.405,345457
kellym,2020-11-06T19:14:34Z,0.595,345457
gnibusk,2020-11-06T23:24:39Z,0.406,347141
kellym,2020-11-06T23:24:39Z,0.594,347141
gnibusk,2020-11-07T01:34:30Z,0.406,347467
kellym,2020-11-07T01:34:30Z,0.594,347467
gnibusk,2020-11-09T22:12:41Z,0.406,347912
kellym,2020-11-09T22:12:41Z,0.594,347912
gnibusk,2020-11-10T01:36:26Z,0.406,348374
kellym,2020-11-10T01:36:26Z,0.594,348374
gnibusk,2020-11-10T23:42:48Z,0.406,348411
kellym,2020-11-10T23:42:48Z,0.594,348411
gnibusk,2020-11-11T14:54:47Z,0.407,349704
kellym,2020-11-11T14:54:47Z,0.593,349704
gnibusk,2020-11-13T21:03:05Z,0.407,351048
kellym,2020-11-13T21:03:05Z,0.593,351048
gnibusk,2020-11-13T21:32:48Z,0.407,352500
kellym,2020-11-13T21:32:48Z,0.593,352500
gnibusk,2020-11-17T21:40:48Z,0.407,352997
kellym,2020-11-17T21:40:48Z,0.593,352997
gnibusk,2020-11-19T20:20:55Z,0.407,353157
kellym,2020-11-19T20:20:55Z,0.593,353157
gnibusk,2020-11-19T20:19:29.800Z,0.407,353866
kellym,2020-11-19T20:19:29.800Z,0.593,353866
gnibusk,2020-11-20T17:20:44Z,0.407,353970
kellym,2020-11-20T17:20:44Z,0.593,353970
gnibusk,2020-11-25T21:49:34Z,0.407,353972
kellym,2020-11-25T21:49:34Z,0.593,353972
gnibusk,2020-12-02T12:01:07Z,0.407,354147
kellym,2020-12-02T12:01:07Z,0.593,354147
gnibusk,2020-12-08T22:21:16Z,0.407,354050
kellym,2020-12-08T22:21:16Z,0.593,354050
gnibusk,2020-12-09T14:20:57Z,0.407,354050
kellym,2020-12-09T14:20:57Z,0.593,354050
gnibusk,2020-12-14T16:41:39.417Z,0.407,353873
kellym,2020-12-14T16:41:39.417Z,0.593,353873
