CANDIDATE,Timestamp,VOTE_SHARES,VOTES
clevelandh,2020-11-04T08:52:03Z,0,0
duncanj,2020-11-04T08:52:03Z,0,0
clevelandh,2020-11-04T00:33:32Z,0.517,1324
duncanj,2020-11-04T00:33:32Z,0.483,1324
clevelandh,2020-11-04T00:39:59Z,0.432,4475
duncanj,2020-11-04T00:39:59Z,0.568,4475
clevelandh,2020-11-04T00:48:58Z,0.433,11551
duncanj,2020-11-04T00:48:58Z,0.567,11551
clevelandh,2020-11-04T00:53:56Z,0.422,18029
duncanj,2020-11-04T00:53:56Z,0.578,18029
clevelandh,2020-11-04T01:02:51Z,0.422,18360
duncanj,2020-11-04T01:02:51Z,0.578,18360
clevelandh,2020-11-04T01:13:57Z,0.419,36244
duncanj,2020-11-04T01:13:57Z,0.581,36244
clevelandh,2020-11-04T01:19:32Z,0.416,37158
duncanj,2020-11-04T01:19:32Z,0.584,37158
clevelandh,2020-11-04T01:25:11Z,0.411,42624
duncanj,2020-11-04T01:25:11Z,0.589,42624
clevelandh,2020-11-04T01:44:02Z,0.359,87231
duncanj,2020-11-04T01:44:02Z,0.641,87231
clevelandh,2020-11-04T01:44:54Z,0.345,93334
duncanj,2020-11-04T01:44:54Z,0.655,93334
clevelandh,2020-11-04T01:47:56Z,0.345,93727
duncanj,2020-11-04T01:47:56Z,0.655,93727
clevelandh,2020-11-04T02:00:11Z,0.351,99424
duncanj,2020-11-04T02:00:11Z,0.649,99424
clevelandh,2020-11-04T02:02:08Z,0.34,129840
duncanj,2020-11-04T02:02:08Z,0.66,129840
clevelandh,2020-11-04T02:10:02Z,0.32,152905
duncanj,2020-11-04T02:10:02Z,0.68,152905
clevelandh,2020-11-04T02:14:18Z,0.309,169292
duncanj,2020-11-04T02:14:18Z,0.691,169292
clevelandh,2020-11-04T02:16:24Z,0.306,172164
duncanj,2020-11-04T02:16:24Z,0.694,172164
clevelandh,2020-11-04T02:22:26Z,0.305,174127
duncanj,2020-11-04T02:22:26Z,0.695,174127
clevelandh,2020-11-04T02:42:30Z,0.305,175760
duncanj,2020-11-04T02:42:30Z,0.695,175760
clevelandh,2020-11-04T03:09:50Z,0.294,195554
duncanj,2020-11-04T03:09:50Z,0.706,195554
clevelandh,2020-11-04T03:13:01Z,0.293,197452
duncanj,2020-11-04T03:13:01Z,0.707,197452
clevelandh,2020-11-04T03:43:21Z,0.273,229852
duncanj,2020-11-04T03:43:21Z,0.727,229852
clevelandh,2020-11-04T03:55:20Z,0.275,233003
duncanj,2020-11-04T03:55:20Z,0.725,233003
clevelandh,2020-11-04T04:05:30Z,0.274,233378
duncanj,2020-11-04T04:05:30Z,0.726,233378
clevelandh,2020-11-04T04:15:36Z,0.274,233771
duncanj,2020-11-04T04:15:36Z,0.726,233771
clevelandh,2020-11-04T04:32:03Z,0.279,298503
duncanj,2020-11-04T04:32:03Z,0.721,298503
clevelandh,2020-11-04T04:37:22Z,0.279,298663
duncanj,2020-11-04T04:37:22Z,0.721,298663
clevelandh,2020-11-04T07:28:51Z,0.289,310221
duncanj,2020-11-04T07:28:51Z,0.711,310221
clevelandh,2020-11-04T11:28:51Z,0.288,332403
duncanj,2020-11-04T11:28:51Z,0.712,332403
clevelandh,2020-11-06T15:16:39Z,0.288,332404
duncanj,2020-11-06T15:16:39Z,0.712,332404
clevelandh,2020-11-06T15:26:40Z,0.288,332406
duncanj,2020-11-06T15:26:40Z,0.712,332406
clevelandh,2020-11-06T16:42:38Z,0.288,332407
duncanj,2020-11-06T16:42:38Z,0.712,332407
clevelandh,2020-11-06T17:04:38Z,0.288,332485
duncanj,2020-11-06T17:04:38Z,0.712,332485
clevelandh,2020-11-06T17:36:38Z,0.288,332605
duncanj,2020-11-06T17:36:38Z,0.712,332605
clevelandh,2020-11-06T18:12:39Z,0.288,332998
duncanj,2020-11-06T18:12:39Z,0.712,332998
clevelandh,2020-11-06T19:24:39Z,0.288,333050
duncanj,2020-11-06T19:24:39Z,0.712,333050
clevelandh,2020-11-06T20:47:38Z,0.288,333095
duncanj,2020-11-06T20:47:38Z,0.712,333095
clevelandh,2020-11-06T20:54:38Z,0.288,333266
duncanj,2020-11-06T20:54:38Z,0.712,333266
clevelandh,2020-11-06T21:55:38Z,0.288,333416
duncanj,2020-11-06T21:55:38Z,0.712,333416
clevelandh,2020-11-11T20:03:27Z,0.287,333256
duncanj,2020-11-11T20:03:27Z,0.713,333256
clevelandh,2020-11-12T15:47:43Z,0.287,333256
duncanj,2020-11-12T15:47:43Z,0.713,333256
clevelandh,2020-11-17T16:51:56.393Z,0.287,333256
duncanj,2020-11-17T16:51:56.393Z,0.713,333256
clevelandh,2020-11-20T14:20:10Z,0.287,333256
duncanj,2020-11-20T14:20:10Z,0.713,333256
