CANDIDATE,Timestamp,VOTE_SHARES,VOTES
dillardj,2020-11-04T09:23:23Z,0,0
hartj,2020-11-04T09:23:23Z,0,0
kustoffd,2020-11-04T09:23:23Z,0,0
stotts_pearsone,2020-11-04T09:23:23Z,0,0
dillardj,2020-11-04T01:12:56Z,0.008,1323
hartj,2020-11-04T01:12:56Z,0.011,1323
kustoffd,2020-11-04T01:12:56Z,0.763,1323
stotts_pearsone,2020-11-04T01:12:56Z,0.219,1323
dillardj,2020-11-04T01:13:06Z,0.008,15322
hartj,2020-11-04T01:13:06Z,0.009,15322
kustoffd,2020-11-04T01:13:06Z,0.749,15322
stotts_pearsone,2020-11-04T01:13:06Z,0.235,15322
dillardj,2020-11-04T01:15:59Z,0.007,54815
hartj,2020-11-04T01:15:59Z,0.008,54815
kustoffd,2020-11-04T01:15:59Z,0.654,54815
stotts_pearsone,2020-11-04T01:15:59Z,0.331,54815
dillardj,2020-11-04T01:16:56Z,0.007,55214
hartj,2020-11-04T01:16:56Z,0.008,55214
kustoffd,2020-11-04T01:16:56Z,0.653,55214
stotts_pearsone,2020-11-04T01:16:56Z,0.331,55214
dillardj,2020-11-04T01:17:58Z,0.007,60064
hartj,2020-11-04T01:17:58Z,0.008,60064
kustoffd,2020-11-04T01:17:58Z,0.637,60064
stotts_pearsone,2020-11-04T01:17:58Z,0.348,60064
dillardj,2020-11-04T01:20:59Z,0.007,65699
hartj,2020-11-04T01:20:59Z,0.009,65699
kustoffd,2020-11-04T01:20:59Z,0.64,65699
stotts_pearsone,2020-11-04T01:20:59Z,0.344,65699
dillardj,2020-11-04T01:25:57Z,0.007,75849
hartj,2020-11-04T01:25:57Z,0.009,75849
kustoffd,2020-11-04T01:25:57Z,0.658,75849
stotts_pearsone,2020-11-04T01:25:57Z,0.326,75849
dillardj,2020-11-04T01:26:56Z,0.007,83379
hartj,2020-11-04T01:26:56Z,0.009,83379
kustoffd,2020-11-04T01:26:56Z,0.668,83379
stotts_pearsone,2020-11-04T01:26:56Z,0.316,83379
dillardj,2020-11-04T01:36:57Z,0.007,83477
hartj,2020-11-04T01:36:57Z,0.009,83477
kustoffd,2020-11-04T01:36:57Z,0.667,83477
stotts_pearsone,2020-11-04T01:36:57Z,0.316,83477
dillardj,2020-11-04T01:37:58Z,0.007,84568
hartj,2020-11-04T01:37:58Z,0.009,84568
kustoffd,2020-11-04T01:37:58Z,0.666,84568
stotts_pearsone,2020-11-04T01:37:58Z,0.318,84568
dillardj,2020-11-04T01:39:59Z,0.007,84920
hartj,2020-11-04T01:39:59Z,0.009,84920
kustoffd,2020-11-04T01:39:59Z,0.666,84920
stotts_pearsone,2020-11-04T01:39:59Z,0.318,84920
dillardj,2020-11-04T01:43:57Z,0.007,89177
hartj,2020-11-04T01:43:57Z,0.01,89177
kustoffd,2020-11-04T01:43:57Z,0.671,89177
stotts_pearsone,2020-11-04T01:43:57Z,0.312,89177
dillardj,2020-11-04T01:45:58Z,0.007,90523
hartj,2020-11-04T01:45:58Z,0.01,90523
kustoffd,2020-11-04T01:45:58Z,0.669,90523
stotts_pearsone,2020-11-04T01:45:58Z,0.314,90523
dillardj,2020-11-04T01:49:58Z,0.007,95586
hartj,2020-11-04T01:49:58Z,0.01,95586
kustoffd,2020-11-04T01:49:58Z,0.67,95586
stotts_pearsone,2020-11-04T01:49:58Z,0.313,95586
dillardj,2020-11-04T01:52:04Z,0.007,106677
hartj,2020-11-04T01:52:04Z,0.01,106677
kustoffd,2020-11-04T01:52:04Z,0.683,106677
