CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T15:17:11Z,9851,7911,17,17,47011
blankenshipd,2020-12-16T15:17:11Z,85,49,17,17,47011
de_la_fuenter,2020-12-16T15:17:11Z,24,14,17,17,47011
hawkinsh,2020-12-16T15:17:11Z,53,31,17,17,47011
jorgensenj,2020-12-16T15:17:11Z,500,285,17,17,47011
kennedya,2020-12-16T15:17:11Z,15,11,17,17,47011
la_rivag,2020-12-16T15:17:11Z,17,11,17,17,47011
trumpd,2020-12-16T15:17:11Z,35204,26988,17,17,47011
westk,2020-12-16T15:17:11Z,102,58,17,17,47011
write-ins,2020-12-16T15:17:11Z,14,0,17,17,47011
