CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-03-06T23:02:30Z,4529,3036,22,22,47019
blankenshipd,2021-03-06T23:02:30Z,27,9,22,22,47019
de_la_fuenter,2021-03-06T23:02:30Z,6,2,22,22,47019
hawkinsh,2021-03-06T23:02:30Z,39,16,22,22,47019
jorgensenj,2021-03-06T23:02:30Z,243,98,22,22,47019
kennedya,2021-03-06T23:02:30Z,14,5,22,22,47019
la_rivag,2021-03-06T23:02:30Z,13,3,22,22,47019
trumpd,2021-03-06T23:02:30Z,19584,9465,22,22,47019
westk,2021-03-06T23:02:30Z,33,10,22,22,47019
write-ins,2021-03-06T23:02:30Z,4,0,22,22,47019
