CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-03-06T23:03:35Z,199703,171859,160,160,47037
blankenshipd,2021-03-06T23:03:35Z,600,410,160,160,47037
de_la_fuenter,2021-03-06T23:03:35Z,421,271,160,160,47037
hawkinsh,2021-03-06T23:03:35Z,729,510,160,160,47037
jorgensenj,2021-03-06T23:03:35Z,3543,2291,160,160,47037
kennedya,2021-03-06T23:03:35Z,632,436,160,160,47037
la_rivag,2021-03-06T23:03:35Z,1072,732,160,160,47037
trumpd,2021-03-06T23:03:35Z,100218,74619,160,160,47037
westk,2021-03-06T23:03:35Z,2601,1619,160,160,47037
write-ins,2021-03-06T23:03:35Z,139,0,160,160,47037
