CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-03-06T23:05:49Z,7027,0,15,15,47047
blankenshipd,2021-03-06T23:05:49Z,18,0,15,15,47047
de_la_fuenter,2021-03-06T23:05:49Z,9,0,15,15,47047
hawkinsh,2021-03-06T23:05:49Z,30,0,15,15,47047
jorgensenj,2021-03-06T23:05:49Z,145,0,15,15,47047
kennedya,2021-03-06T23:05:49Z,16,0,15,15,47047
la_rivag,2021-03-06T23:05:49Z,7,0,15,15,47047
trumpd,2021-03-06T23:05:49Z,15690,0,15,15,47047
westk,2021-03-06T23:05:49Z,42,0,15,15,47047
write-ins,2021-03-06T23:05:49Z,0,0,15,15,47047
