CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-03-06T23:05:54Z,5771,3955,28,28,47053
blankenshipd,2021-03-06T23:05:54Z,48,30,28,28,47053
de_la_fuenter,2021-03-06T23:05:54Z,8,4,28,28,47053
hawkinsh,2021-03-06T23:05:54Z,32,14,28,28,47053
jorgensenj,2021-03-06T23:05:54Z,160,92,28,28,47053
kennedya,2021-03-06T23:05:54Z,15,8,28,28,47053
la_rivag,2021-03-06T23:05:54Z,5,2,28,28,47053
trumpd,2021-03-06T23:05:54Z,16259,10521,28,28,47053
westk,2021-03-06T23:05:54Z,31,13,28,28,47053
write-ins,2021-03-06T23:05:54Z,6,0,28,28,47053
