CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T17:39:50Z,2017,0,8,8,47085
blankenshipd,2020-12-16T17:39:50Z,20,0,8,8,47085
de_la_fuenter,2020-12-16T17:39:50Z,2,0,8,8,47085
hawkinsh,2020-12-16T17:39:50Z,14,0,8,8,47085
jorgensenj,2020-12-16T17:39:50Z,46,0,8,8,47085
kennedya,2020-12-16T17:39:50Z,2,0,8,8,47085
la_rivag,2020-12-16T17:39:50Z,1,0,8,8,47085
trumpd,2020-12-16T17:39:50Z,6120,0,8,8,47085
westk,2020-12-16T17:39:50Z,14,0,8,8,47085
write-ins,2020-12-16T17:39:50Z,0,0,8,8,47085
