CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T18:10:16Z,14418,8886,21,21,47119
blankenshipd,2020-12-16T18:10:16Z,71,28,21,21,47119
de_la_fuenter,2020-12-16T18:10:16Z,27,12,21,21,47119
hawkinsh,2020-12-16T18:10:16Z,57,30,21,21,47119
jorgensenj,2020-12-16T18:10:16Z,486,227,21,21,47119
kennedya,2020-12-16T18:10:16Z,25,11,21,21,47119
la_rivag,2020-12-16T18:10:16Z,10,5,21,21,47119
trumpd,2020-12-16T18:10:16Z,31464,19136,21,21,47119
westk,2020-12-16T18:10:16Z,93,40,21,21,47119
write-ins,2020-12-16T18:10:16Z,6,0,21,21,47119
