CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T18:09:54Z,1008,0,6,6,47121
blankenshipd,2020-12-16T18:09:54Z,11,0,6,6,47121
de_la_fuenter,2020-12-16T18:09:54Z,1,0,6,6,47121
hawkinsh,2020-12-16T18:09:54Z,5,0,6,6,47121
jorgensenj,2020-12-16T18:09:54Z,34,0,6,6,47121
kennedya,2020-12-16T18:09:54Z,0,0,6,6,47121
la_rivag,2020-12-16T18:09:54Z,0,0,6,6,47121
trumpd,2020-12-16T18:09:54Z,4467,0,6,6,47121
westk,2020-12-16T18:09:54Z,6,0,6,6,47121
write-ins,2020-12-16T18:09:54Z,0,0,6,6,47121
