CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T18:14:16Z,2369,0,12,12,47143
blankenshipd,2020-12-16T18:14:16Z,23,0,12,12,47143
de_la_fuenter,2020-12-16T18:14:16Z,5,0,12,12,47143
hawkinsh,2020-12-16T18:14:16Z,17,0,12,12,47143
jorgensenj,2020-12-16T18:14:16Z,130,0,12,12,47143
kennedya,2020-12-16T18:14:16Z,9,0,12,12,47143
la_rivag,2020-12-16T18:14:16Z,3,0,12,12,47143
trumpd,2020-12-16T18:14:16Z,11050,0,12,12,47143
westk,2020-12-16T18:14:16Z,28,0,12,12,47143
write-ins,2020-12-16T18:14:16Z,3,0,12,12,47143
