CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T18:15:09Z,8692,0,18,18,47147
blankenshipd,2020-12-16T18:15:09Z,48,0,18,18,47147
de_la_fuenter,2020-12-16T18:15:09Z,15,0,18,18,47147
hawkinsh,2020-12-16T18:15:09Z,39,0,18,18,47147
jorgensenj,2020-12-16T18:15:09Z,300,0,18,18,47147
kennedya,2020-12-16T18:15:09Z,17,0,18,18,47147
la_rivag,2020-12-16T18:15:09Z,8,0,18,18,47147
trumpd,2020-12-16T18:15:09Z,24536,0,18,18,47147
westk,2020-12-16T18:15:09Z,60,0,18,18,47147
write-ins,2020-12-16T18:15:09Z,2,0,18,18,47147
