CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T18:16:31Z,1298,0,9,9,47153
blankenshipd,2020-12-16T18:16:31Z,5,0,9,9,47153
de_la_fuenter,2020-12-16T18:16:31Z,0,0,9,9,47153
hawkinsh,2020-12-16T18:16:31Z,11,0,9,9,47153
jorgensenj,2020-12-16T18:16:31Z,64,0,9,9,47153
kennedya,2020-12-16T18:16:31Z,3,0,9,9,47153
la_rivag,2020-12-16T18:16:31Z,1,0,9,9,47153
trumpd,2020-12-16T18:16:31Z,5855,0,9,9,47153
westk,2020-12-16T18:16:31Z,14,0,9,9,47153
write-ins,2020-12-16T18:16:31Z,1,0,9,9,47153
