CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-16T18:48:16Z,18638,2427,35,35,47179
blankenshipd,2020-12-16T18:48:16Z,106,9,35,35,47179
de_la_fuenter,2020-12-16T18:48:16Z,33,3,35,35,47179
hawkinsh,2020-12-16T18:48:16Z,104,9,35,35,47179
jorgensenj,2020-12-16T18:48:16Z,668,29,35,35,47179
kennedya,2020-12-16T18:48:16Z,50,5,35,35,47179
la_rivag,2020-12-16T18:48:16Z,43,4,35,35,47179
trumpd,2020-12-16T18:48:16Z,40444,1969,35,35,47179
westk,2020-12-16T18:48:16Z,105,1,35,35,47179
write-ins,2020-12-16T18:48:16Z,12,0,35,35,47179
