CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:03:52Z,616,0,7,7,47027
faparusiy,2021-03-06T23:03:52Z,5,0,7,7,47027
grunauj,2021-03-06T23:03:52Z,6,0,7,7,47027
hagertyb,2021-03-06T23:03:52Z,2525,0,7,7,47027
henleyr,2021-03-06T23:03:52Z,14,0,7,7,47027
hilld,2021-03-06T23:03:52Z,7,0,7,7,47027
hoopers,2021-03-06T23:03:52Z,16,0,7,7,47027
jamesa,2021-03-06T23:03:52Z,3,0,7,7,47027
mcleode,2021-03-06T23:03:52Z,14,0,7,7,47027
morgank,2021-03-06T23:03:52Z,14,0,7,7,47027
stansberrye,2021-03-06T23:03:52Z,5,0,7,7,47027
