CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:04:01Z,5908,4846,24,24,47035
faparusiy,2021-03-06T23:04:01Z,65,42,24,24,47035
grunauj,2021-03-06T23:04:01Z,44,27,24,24,47035
hagertyb,2021-03-06T23:04:01Z,24412,16771,24,24,47035
henleyr,2021-03-06T23:04:01Z,76,41,24,24,47035
hilld,2021-03-06T23:04:01Z,50,29,24,24,47035
hoopers,2021-03-06T23:04:01Z,52,26,24,24,47035
jamesa,2021-03-06T23:04:01Z,32,25,24,24,47035
mcleode,2021-03-06T23:04:01Z,140,88,24,24,47035
morgank,2021-03-06T23:04:01Z,84,55,24,24,47035
stansberrye,2021-03-06T23:04:01Z,49,33,24,24,47035
