CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:03:22Z,4384,3415,18,18,47051
faparusiy,2021-03-06T23:03:22Z,44,35,18,18,47051
grunauj,2021-03-06T23:03:22Z,18,13,18,18,47051
hagertyb,2021-03-06T23:03:22Z,13490,7818,18,18,47051
henleyr,2021-03-06T23:03:22Z,60,21,18,18,47051
hilld,2021-03-06T23:03:22Z,22,18,18,18,47051
hoopers,2021-03-06T23:03:22Z,36,17,18,18,47051
jamesa,2021-03-06T23:03:22Z,21,11,18,18,47051
mcleode,2021-03-06T23:03:22Z,83,49,18,18,47051
morgank,2021-03-06T23:03:22Z,38,16,18,18,47051
stansberrye,2021-03-06T23:03:22Z,27,8,18,18,47051
