CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:02:35Z,4804,4788,17,17,47059
faparusiy,2021-03-06T23:02:35Z,48,48,17,17,47059
grunauj,2021-03-06T23:02:35Z,20,20,17,17,47059
hagertyb,2021-03-06T23:02:35Z,21904,21838,17,17,47059
henleyr,2021-03-06T23:02:35Z,83,83,17,17,47059
hilld,2021-03-06T23:02:35Z,39,39,17,17,47059
hoopers,2021-03-06T23:02:35Z,82,80,17,17,47059
jamesa,2021-03-06T23:02:35Z,138,138,17,17,47059
mcleode,2021-03-06T23:02:35Z,146,145,17,17,47059
morgank,2021-03-06T23:02:35Z,98,97,17,17,47059
stansberrye,2021-03-06T23:02:35Z,79,78,17,17,47059
