CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2020-12-16T16:27:52Z,888,0,10,10,47061
faparusiy,2020-12-16T16:27:52Z,8,0,10,10,47061
grunauj,2020-12-16T16:27:52Z,9,0,10,10,47061
hagertyb,2020-12-16T16:27:52Z,4373,0,10,10,47061
henleyr,2020-12-16T16:27:52Z,19,0,10,10,47061
hilld,2020-12-16T16:27:52Z,5,0,10,10,47061
hoopers,2020-12-16T16:27:52Z,17,0,10,10,47061
jamesa,2020-12-16T16:27:52Z,19,0,10,10,47061
mcleode,2020-12-16T16:27:52Z,18,0,10,10,47061
morgank,2020-12-16T16:27:52Z,22,0,10,10,47061
stansberrye,2020-12-16T16:27:52Z,17,0,10,10,47061
