CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:04:55Z,3452,0,13,13,47069
faparusiy,2021-03-06T23:04:55Z,21,0,13,13,47069
grunauj,2021-03-06T23:04:55Z,34,0,13,13,47069
hagertyb,2021-03-06T23:04:55Z,5377,0,13,13,47069
henleyr,2021-03-06T23:04:55Z,73,0,13,13,47069
hilld,2021-03-06T23:04:55Z,34,0,13,13,47069
hoopers,2021-03-06T23:04:55Z,43,0,13,13,47069
jamesa,2021-03-06T23:04:55Z,20,0,13,13,47069
mcleode,2021-03-06T23:04:55Z,41,0,13,13,47069
morgank,2021-03-06T23:04:55Z,41,0,13,13,47069
stansberrye,2021-03-06T23:04:55Z,27,0,13,13,47069
