CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:02:40Z,3649,0,20,20,47073
faparusiy,2021-03-06T23:02:40Z,45,0,20,20,47073
grunauj,2021-03-06T23:02:40Z,35,0,20,20,47073
hagertyb,2021-03-06T23:02:40Z,19123,0,20,20,47073
henleyr,2021-03-06T23:02:40Z,91,0,20,20,47073
hilld,2021-03-06T23:02:40Z,39,0,20,20,47073
hoopers,2021-03-06T23:02:40Z,35,0,20,20,47073
jamesa,2021-03-06T23:02:40Z,37,0,20,20,47073
mcleode,2021-03-06T23:02:40Z,110,0,20,20,47073
morgank,2021-03-06T23:02:40Z,89,0,20,20,47073
stansberrye,2021-03-06T23:02:40Z,52,0,20,20,47073
