CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2020-12-03T13:52:22Z,1793,0,14,14,47077
faparusiy,2020-12-03T13:52:22Z,17,0,14,14,47077
grunauj,2020-12-03T13:52:22Z,18,0,14,14,47077
hagertyb,2020-12-03T13:52:22Z,9585,0,14,14,47077
henleyr,2020-12-03T13:52:22Z,28,0,14,14,47077
hilld,2020-12-03T13:52:22Z,14,0,14,14,47077
hoopers,2020-12-03T13:52:22Z,30,0,14,14,47077
jamesa,2020-12-03T13:52:22Z,13,0,14,14,47077
mcleode,2020-12-03T13:52:22Z,49,0,14,14,47077
morgank,2020-12-03T13:52:22Z,26,0,14,14,47077
stansberrye,2020-12-03T13:52:22Z,13,0,14,14,47077
